#Energy      Au  Total
          0.1000          3.98866679E+05          3.98866679E+05
          0.2000          1.99565762E+05          1.99565762E+05
          0.3000          1.33111715E+05          1.33111715E+05
          0.4000          9.98767833E+04          9.98767833E+04
          0.5000          7.99317877E+04          7.99317877E+04
          0.6000          6.66327387E+04          6.66327387E+04
          0.7000          5.71318714E+04          5.71318714E+04
          0.8000          5.00051514E+04          5.00051514E+04
          0.9000          4.44613712E+04          4.44613712E+04
          1.0000          4.00257637E+04          4.00257637E+04
          2.0000          2.00557658E+04          2.00557658E+04
          3.0000          1.33928286E+04          1.33928286E+04
          4.0000          1.00589697E+04          1.00589697E+04
          5.0000          8.05745457E+03          8.05745457E+03
          6.0000          6.72241400E+03          6.72241400E+03
          7.0000          5.76836925E+03          5.76836925E+03
          8.0000          5.05253373E+03          5.05253373E+03
          9.0000          4.49555768E+03          4.49555768E+03
         10.0000          4.04981798E+03          4.04981798E+03
         11.0000          3.68500115E+03          3.68500115E+03
         12.0000          3.38089323E+03          3.38089323E+03
         13.0000          3.12349673E+03          3.12349673E+03
         14.0000          2.90281121E+03          2.90281121E+03
         15.0000          2.71150149E+03          2.71150149E+03
         16.0000          2.54406506E+03          2.54406506E+03
         17.0000          2.39629329E+03          2.39629329E+03
         18.0000          2.26491222E+03          2.26491222E+03
         19.0000          2.14733665E+03          2.14733665E+03
         20.0000          2.04149807E+03          2.04149807E+03
         21.0000          1.94572168E+03          1.94572168E+03
         22.0000          1.85863698E+03          1.85863698E+03
         23.0000          1.77911161E+03          1.77911161E+03
         24.0000          1.70620181E+03          1.70620181E+03
         25.0000          1.63911470E+03          1.63911470E+03
         26.0000          1.57717927E+03          1.57717927E+03
         27.0000          1.51982385E+03          1.51982385E+03
         28.0000          1.46655837E+03          1.46655837E+03
         29.0000          1.41696028E+03          1.41696028E+03
         30.0000          1.37066334E+03          1.37066334E+03
         31.0000          1.32734850E+03          1.32734850E+03
         32.0000          1.28673659E+03          1.28673659E+03
         33.0000          1.24858222E+03          1.24858222E+03
         34.0000          1.21266884E+03          1.21266884E+03
         35.0000          1.17880466E+03          1.17880466E+03
         36.0000          1.14681914E+03          1.14681914E+03
         37.0000          1.11656018E+03          1.11656018E+03
         38.0000          1.08789167E+03          1.08789167E+03
         39.0000          1.06069145E+03          1.06069145E+03
         40.0000          1.03484955E+03          1.03484955E+03
         41.0000          1.01026674E+03          1.01026674E+03
         42.0000          9.86853203E+02          9.86853203E+02
         43.0000          9.64527497E+02          9.64527497E+02
         44.0000          9.43215560E+02          9.43215560E+02
         45.0000          9.22849909E+02          9.22849909E+02
         46.0000          9.03368924E+02          9.03368924E+02
         47.0000          8.84716222E+02          8.84716222E+02
         48.0000          8.66840116E+02          8.66840116E+02
         49.0000          8.49693132E+02          8.49693132E+02
         50.0000          8.33231590E+02          8.33231590E+02
         51.0000          8.17415232E+02          8.17415232E+02
         52.0000          8.02206895E+02          8.02206895E+02
         53.0000          7.87572215E+02          7.87572215E+02
         54.0000          7.73479372E+02          7.73479372E+02
         55.0000          7.59898858E+02          7.59898858E+02
         56.0000          7.46803270E+02          7.46803270E+02
         57.0000          7.34167125E+02          7.34167125E+02
         58.0000          7.21966696E+02          7.21966696E+02
         59.0000          7.10179864E+02          7.10179864E+02
         60.0000          6.98785980E+02          6.98785980E+02
         60.9990          6.87776589E+02          6.87776589E+02
         61.0000          6.87765750E+02          6.87765750E+02
         61.0010          6.87754910E+02          6.87754910E+02
         62.0000          6.77101122E+02          6.77101122E+02
         63.0000          6.66775190E+02          6.66775190E+02
         64.0000          6.56772103E+02          6.56772103E+02
         65.0000          6.47076982E+02          6.47076982E+02
         66.0000          6.37675853E+02          6.37675853E+02
         67.0000          6.28555571E+02          6.28555571E+02
         68.0000          6.19703766E+02          6.19703766E+02
         69.0000          6.11108783E+02          6.11108783E+02
         70.0000          6.02759633E+02          6.02759633E+02
         71.0000          5.94645945E+02          5.94645945E+02
         72.0000          5.86757924E+02          5.86757924E+02
         73.0000          5.79086309E+02          5.79086309E+02
         74.0000          5.71622341E+02          5.71622341E+02
         75.0000          5.64357728E+02          5.64357728E+02
         75.9990          5.57291592E+02          5.57291592E+02
         76.0000          5.57284612E+02          5.57284612E+02
         76.0010          5.57277632E+02          5.57277632E+02
         77.0000          5.50395544E+02          5.50395544E+02
         78.0000          5.43683455E+02          5.43683455E+02
         79.0000          5.37141636E+02          5.37141636E+02
         80.0000          5.30763712E+02          5.30763712E+02
         81.0000          5.24543621E+02          5.24543621E+02
         82.0000          5.18475597E+02          5.18475597E+02
         83.0000          5.12554153E+02          5.12554153E+02
         84.0000          5.06774062E+02          5.06774062E+02
         85.0000          5.01130342E+02          5.01130342E+02
         86.0000          4.95618243E+02          4.95618243E+02
         86.9990          4.90238557E+02          4.90238557E+02
         87.0000          4.90233234E+02          4.90233234E+02
         87.0010          4.90227911E+02          4.90227911E+02
         88.0000          4.84970987E+02          4.84970987E+02
         89.0000          4.79827372E+02          4.79827372E+02
         90.0000          4.74798439E+02          4.74798439E+02
         90.9990          4.69885277E+02          4.69885277E+02
         91.0000          4.69880414E+02          4.69880414E+02
         91.0010          4.69875550E+02          4.69875550E+02
         92.0000          4.65069684E+02          4.65069684E+02
         93.0000          4.60362795E+02          4.60362795E+02
         94.0000          4.55756436E+02          4.55756436E+02
         95.0000          4.51247438E+02          4.51247438E+02
         96.0000          4.46832763E+02          4.46832763E+02
         97.0000          4.42509496E+02          4.42509496E+02
         98.0000          4.38274845E+02          4.38274845E+02
         99.0000          4.34126127E+02          4.34126127E+02
        100.0000          4.30060768E+02          4.30060768E+02
        110.0000          3.93492404E+02          3.93492404E+02
        113.9990          3.80674586E+02          3.80674586E+02
        114.0010          3.80668402E+02          3.80668402E+02
        120.0000          3.63053397E+02          3.63053397E+02
        130.0000          3.37330794E+02          3.37330794E+02
        140.0000          3.15314905E+02          3.15314905E+02
        150.0000          2.96264998E+02          2.96264998E+02
        160.0000          2.79625325E+02          2.79625325E+02
        170.0000          2.64970767E+02          2.64970767E+02
        180.0000          2.51970577E+02          2.51970577E+02
        190.0000          2.40363572E+02          2.40363572E+02
