#Energy      Pb  Total
          0.1000          4.69077321E+05          4.69077321E+05
          0.2000          2.34683204E+05          2.34683204E+05
          0.3000          1.56529552E+05          1.56529552E+05
          0.4000          1.17444090E+05          1.17444090E+05
          0.5000          9.39884067E+04          9.39884067E+04
          0.6000          7.83486797E+04          7.83486797E+04
          0.7000          6.71757574E+04          6.71757574E+04
          0.8000          5.87948977E+04          5.87948977E+04
          0.9000          5.22756042E+04          5.22756042E+04
          1.0000          4.70595322E+04          4.70595322E+04
          2.0000          2.35765436E+04          2.35765436E+04
          3.0000          1.57420291E+04          1.57420291E+04
          4.0000          1.18221590E+04          1.18221590E+04
          5.0000          9.46892480E+03          9.46892480E+03
          6.0000          7.89933916E+03          7.89933916E+03
          7.0000          6.77772009E+03          6.77772009E+03
          8.0000          5.93617502E+03          5.93617502E+03
          9.0000          5.28140420E+03          5.28140420E+03
         10.0000          4.75741333E+03          4.75741333E+03
         11.0000          4.32856104E+03          4.32856104E+03
         12.0000          3.97108103E+03          3.97108103E+03
         13.0000          3.66851615E+03          3.66851615E+03
         14.0000          3.40910891E+03          3.40910891E+03
         15.0000          3.18423543E+03          3.18423543E+03
         16.0000          2.98742661E+03          2.98742661E+03
         17.0000          2.81373457E+03          2.81373457E+03
         18.0000          2.65931032E+03          2.65931032E+03
         19.0000          2.52111466E+03          2.52111466E+03
         20.0000          2.39671582E+03          2.39671582E+03
         21.0000          2.28414493E+03          2.28414493E+03
         22.0000          2.18179084E+03          2.18179084E+03
         23.0000          2.08832242E+03          2.08832242E+03
         24.0000          2.00263022E+03          2.00263022E+03
         24.9990          1.92385786E+03          1.92385786E+03
         25.0000          1.92378216E+03          1.92378216E+03
         25.0010          1.92370646E+03          1.92370646E+03
         26.0000          1.85098947E+03          1.85098947E+03
         26.9990          1.78364505E+03          1.78364505E+03
         27.0000          1.78358013E+03          1.78358013E+03
         27.0010          1.78351521E+03          1.78351521E+03
         28.0000          1.72097805E+03          1.72097805E+03
         29.0000          1.66268655E+03          1.66268655E+03
         30.0000          1.60827510E+03          1.60827510E+03
         31.0000          1.55736868E+03          1.55736868E+03
         32.0000          1.50963913E+03          1.50963913E+03
         33.0000          1.46479801E+03          1.46479801E+03
         34.0000          1.42259078E+03          1.42259078E+03
         35.0000          1.38279199E+03          1.38279199E+03
         36.0000          1.34520120E+03          1.34520120E+03
         37.0000          1.30963962E+03          1.30963962E+03
         38.0000          1.27594727E+03          1.27594727E+03
         39.0000          1.24398055E+03          1.24398055E+03
         40.0000          1.21361023E+03          1.21361023E+03
         41.0000          1.18471964E+03          1.18471964E+03
         42.0000          1.15720326E+03          1.15720326E+03
         43.0000          1.13096533E+03          1.13096533E+03
         44.0000          1.10591881E+03          1.10591881E+03
         45.0000          1.08198439E+03          1.08198439E+03
         46.0000          1.05908964E+03          1.05908964E+03
         47.0000          1.03716829E+03          1.03716829E+03
         48.0000          1.01615960E+03          1.01615960E+03
         49.0000          9.96007762E+02          9.96007762E+02
         50.0000          9.76661447E+02          9.76661447E+02
         51.0000          9.58073338E+02          9.58073338E+02
         52.0000          9.40199755E+02          9.40199755E+02
         53.0000          9.23000313E+02          9.23000313E+02
         54.0000          9.06437615E+02          9.06437615E+02
         55.0000          8.90476980E+02          8.90476980E+02
         56.0000          8.75086202E+02          8.75086202E+02
         57.0000          8.60235333E+02          8.60235333E+02
         58.0000          8.45896487E+02          8.45896487E+02
         59.0000          8.32043669E+02          8.32043669E+02
         60.0000          8.18652612E+02          8.18652612E+02
