#Energy      Pb   O  Total
          0.1000          5.87013354E+05          1.74725614E+02          1.74673623E+02
          0.2000          2.93687561E+05          9.27388110E+01          9.27095357E+01
          0.3000          1.95884416E+05          6.46703239E+01          6.46489803E+01
          0.4000          1.46972037E+05          5.03524321E+01          5.03351873E+01
          0.5000          1.17619095E+05          4.16185242E+01          4.16038031E+01
          0.6000          9.80472072E+04          3.57123039E+01          3.56993009E+01
          0.7000          8.40651741E+04          3.14400325E+01          3.14282784E+01
          0.8000          7.35771877E+04          2.81992866E+01          2.81884831E+01
          0.9000          6.54188049E+04          2.56525718E+01          2.56425167E+01
          1.0000          5.88913013E+04          2.35958272E+01          2.35863769E+01
          2.0000          2.95041891E+04          1.40337956E+01          1.40271235E+01
          3.0000          1.96999106E+04          1.06732193E+01          1.06674398E+01
          4.0000          1.47945017E+04          8.94432538E+00          8.93892117E+00
          5.0000          1.18496142E+04          7.89255978E+00          7.88730635E+00
          6.0000          9.88540133E+03          7.18950636E+00          7.18428134E+00
          7.0000          8.48178333E+03          6.69073213E+00          6.68545840E+00
          8.0000          7.42865590E+03          6.32240555E+00          6.31702923E+00
          9.0000          6.60926175E+03          6.04270347E+00          6.03718380E+00
         10.0000          5.95352841E+03          5.82609140E+00          5.82039560E+00
         11.0000          5.41685351E+03          5.65606192E+00          5.65016225E+00
         12.0000          4.96949541E+03          5.52145033E+00          5.51532242E+00
         13.0000          4.59085928E+03          5.41442397E+00          5.40804577E+00
         14.0000          4.26623153E+03          5.32931899E+00          5.32266999E+00
         15.0000          3.98482006E+03          5.26193416E+00          5.25499497E+00
         16.0000          3.73852931E+03          5.20908479E+00          5.20183680E+00
         17.0000          3.52116740E+03          5.16831108E+00          5.16073624E+00
         18.0000          3.32791760E+03          5.13768185E+00          5.12976246E+00
         19.0000          3.15497660E+03          5.11565895E+00          5.10737755E+00
         20.0000          2.99930124E+03          5.10100158E+00          5.09234089E+00
         21.0000          2.85842763E+03          5.09269737E+00          5.08364014E+00
         22.0000          2.73033955E+03          5.08991183E+00          5.08044085E+00
         23.0000          2.61337118E+03          5.09195071E+00          5.08204873E+00
         24.0000          2.50613412E+03          5.09823161E+00          5.08788133E+00
         24.9990          2.40755672E+03          5.10825045E+00          5.09743493E+00
         25.0000          2.40746198E+03          5.10826221E+00          5.09744622E+00
         25.0010          2.40736725E+03          5.10827397E+00          5.09745750E+00
         26.0000          2.31636766E+03          5.12162339E+00          5.11032416E+00
         26.9990          2.23209141E+03          5.13793838E+00          5.12613878E+00
         27.0000          2.23201017E+03          5.13795609E+00          5.12615598E+00
         27.0010          2.23192894E+03          5.13797381E+00          5.12617319E+00
         28.0000          2.15366860E+03          5.15695088E+00          5.14463208E+00
         29.0000          2.08072137E+03          5.17833960E+00          5.16548413E+00
         30.0000          2.01262972E+03          5.20188870E+00          5.18847845E+00
         31.0000          1.94892436E+03          5.22739385E+00          5.21341047E+00
         32.0000          1.88919458E+03          5.25467540E+00          5.24010039E+00
         33.0000          1.83307944E+03          5.28357486E+00          5.26838952E+00
         34.0000          1.78026042E+03          5.31395179E+00          5.29813722E+00
         35.0000          1.73045536E+03          5.34568132E+00          5.32921843E+00
         36.0000          1.68341344E+03          5.37865208E+00          5.36152155E+00
         37.0000          1.63891092E+03          5.41276435E+00          5.39494668E+00
         38.0000          1.59674760E+03          5.44792864E+00          5.42940410E+00
         39.0000          1.55674377E+03          5.48406438E+00          5.46481305E+00
         40.0000          1.51873769E+03          5.52109884E+00          5.50110058E+00
         41.0000          1.48258341E+03          5.55896620E+00          5.53820065E+00
         42.0000          1.44814882E+03          5.59760676E+00          5.57605334E+00
         43.0000          1.41531411E+03          5.63696621E+00          5.61460415E+00
         44.0000          1.38397036E+03          5.67699508E+00          5.65380339E+00
         45.0000          1.35401832E+03          5.71764820E+00          5.69360566E+00
         46.0000          1.32536734E+03          5.75888422E+00          5.73396942E+00
         47.0000          1.29793450E+03          5.80066525E+00          5.77485654E+00
         48.0000          1.27164377E+03          5.84295648E+00          5.81623202E+00
         49.0000          1.24642534E+03          5.88572589E+00          5.85806362E+00
         50.0000          1.22221494E+03          5.92894398E+00          5.90032162E+00
         51.0000          1.19895339E+03          5.97258352E+00          5.94297858E+00
         52.0000          1.17658601E+03          6.01661933E+00          5.98600912E+00
         53.0000          1.15506226E+03          6.06102810E+00          6.02938972E+00
         54.0000          1.13433534E+03          6.10578823E+00          6.07309856E+00
         55.0000          1.11436187E+03          6.15087967E+00          6.11711538E+00
         56.0000          1.09510152E+03          6.19628377E+00          6.16142133E+00
         57.0000          1.07651682E+03          6.24198319E+00          6.20599885E+00
         58.0000          1.05857289E+03          6.28796175E+00          6.25083158E+00
         59.0000          1.04123718E+03          6.33420438E+00          6.29590422E+00
         60.0000          1.02447932E+03          6.38069698E+00          6.34120249E+00
         61.0000          1.00827095E+03          6.42742640E+00          6.38671301E+00
         62.0000          9.92585510E+02          6.47438031E+00          6.43242326E+00
         63.0000          9.77398138E+02          6.52154716E+00          6.47832150E+00
         64.0000          9.62685523E+02          6.56891612E+00          6.52439669E+00
         65.0000          9.48425784E+02          6.61647704E+00          6.57063847E+00
         66.0000          9.34598367E+02          6.66422035E+00          6.61703710E+00
         67.0000          9.21183943E+02          6.71213710E+00          6.66358340E+00
         68.0000          9.08164318E+02          6.76021881E+00          6.71026873E+00
         69.0000          8.95522353E+02          6.80845754E+00          6.75708493E+00
         70.0000          8.83241886E+02          6.85684579E+00          6.80402430E+00
         71.0000          8.71307666E+02          6.90537646E+00          6.85107959E+00
         72.0000          8.59705286E+02          6.95404289E+00          6.89824390E+00
         73.0000          8.48421130E+02          7.00283875E+00          6.94551074E+00
         74.0000          8.37442315E+02          7.05175808E+00          6.99287396E+00
         75.0000          8.26756646E+02          7.10079523E+00          7.04032771E+00
         76.0000          8.16352568E+02          7.14994485E+00          7.08786646E+00
         77.0000          8.06219126E+02          7.19920188E+00          7.13548496E+00
         78.0000          7.96345926E+02          7.24856151E+00          7.18317823E+00
         79.0000          7.86723100E+02          7.29801918E+00          7.23094152E+00
         80.0000          7.77341273E+02          7.34757059E+00          7.27877033E+00
         81.0000          7.68191532E+02          7.39721161E+00          7.32666038E+00
         82.0000          7.59265397E+02          7.44693834E+00          7.37460758E+00
         83.0000          7.50554799E+02          7.49674709E+00          7.42260804E+00
         84.0000          7.42052050E+02          7.54663431E+00          7.47065807E+00
         85.0000          7.33749826E+02          7.59659665E+00          7.51875412E+00
         86.0000          7.25641141E+02          7.64663091E+00          7.56689283E+00
         87.0000          7.17719330E+02          7.69673405E+00          7.61507097E+00
         88.0000          7.09978033E+02          7.74690316E+00          7.66328546E+00
         89.0000          7.02411173E+02          7.79713548E+00          7.71153338E+00
         89.9990          6.95020259E+02          7.84737803E+00          7.75976361E+00
         90.0000          6.95012944E+02          7.84742835E+00          7.75981190E+00
         90.0010          6.95005628E+02          7.84747867E+00          7.75986019E+00
         91.0000          6.87777793E+02          7.89777926E+00          7.80811833E+00
         92.0000          6.80700411E+02          7.94818580E+00          7.85645011E+00
         93.0000          6.73775715E+02          7.99864568E+00          7.90480476E+00
         94.0000          6.66998840E+02          8.04915668E+00          7.95317991E+00
         95.0000          6.60365122E+02          8.09971671E+00          8.00157331E+00
         96.0000          6.53870096E+02          8.15032376E+00          8.04998278E+00
         97.0000          6.47509476E+02          8.20097591E+00          8.09840624E+00
         98.0000          6.41279155E+02          8.25167131E+00          8.14684168E+00
         99.0000          6.35175189E+02          8.30240820E+00          8.19528718E+00
        100.0000          6.29193792E+02          8.35318490E+00          8.24374089E+00
        110.0000          5.75386615E+02          8.86281567E+00          8.72837052E+00
        110.9990          5.70546518E+02          8.91388551E+00          8.77676250E+00
        111.0010          5.70536916E+02          8.91398778E+00          8.77685937E+00
        120.0000          5.30591776E+02          9.37500132E+00          9.21223085E+00
        130.0000          4.92731661E+02          9.88885449E+00          9.69429530E+00
        140.0000          4.60321650E+02          1.04037632E+01          1.01738239E+01
        143.9990          4.48632399E+02          1.06098697E+01          1.03647500E+01
        144.0010          4.48626717E+02          1.06099728E+01          1.03648453E+01
        147.9990          4.37578633E+02          1.08161049E+01          1.05552006E+01
        148.0010          4.37573257E+02          1.08162080E+01          1.05552957E+01
        150.0000          4.32272619E+02          1.09192971E+01          1.06502690E+01
        152.9990          4.24583071E+02          1.10739790E+01          1.07924893E+01
        153.0010          4.24578044E+02          1.10740822E+01          1.07925840E+01
        160.0000          4.07767444E+02          1.14351484E+01          1.11232166E+01
        170.0000          3.86181076E+02          1.19510949E+01          1.15923480E+01
        180.0000          3.67027231E+02          1.24669744E+01          1.20574149E+01
        190.0000          3.49921901E+02          1.29826680E+01          1.25182217E+01
        200.0000          3.34557812E+02          1.34980884E+01          1.29746139E+01
        210.0000          3.20686167E+02          1.40131717E+01          1.34264691E+01
        220.0000          3.08103369E+02          1.45278713E+01          1.38736908E+01
        230.0000          2.96641201E+02          1.50421535E+01          1.43162040E+01
        240.0000          2.86159463E+02          1.55559950E+01          1.47539513E+01
        250.0000          2.76540371E+02          1.60693796E+01          1.51868904E+01
        260.0000          2.67684254E+02          1.65822972E+01          1.56149918E+01
        270.0000          2.59506196E+02          1.70947421E+01          1.60382373E+01
        280.0000          2.51933410E+02          1.76067118E+01          1.64566185E+01
        290.0000          2.44903144E+02          1.81182068E+01          1.68701355E+01
        300.0000          2.38361009E+02          1.86292294E+01          1.72787961E+01
        310.0000          2.32259636E+02          1.91397835E+01          1.76826150E+01
        320.0000          2.26557573E+02          1.96498742E+01          1.80816131E+01
        330.0000          2.21218395E+02          2.01595075E+01          1.84758167E+01
        340.0000          2.16209962E+02          2.06686899E+01          1.88652571E+01
        350.0000          2.11503808E+02          2.11774287E+01          1.92499699E+01
        360.0000          2.07074631E+02          2.16857312E+01          1.96299951E+01
        370.0000          2.02899865E+02          2.21936051E+01          2.00053759E+01
        380.0000          1.98959320E+02          2.27010582E+01          2.03761590E+01
        390.0000          1.95234881E+02          2.32080983E+01          2.07423938E+01
        400.0000          1.91710243E+02          2.37147332E+01          2.11041326E+01
        410.0000          1.88370693E+02          2.42209708E+01          2.14614298E+01
        418.9990          1.85512634E+02          2.46762007E+01          2.17792110E+01
        419.0010          1.85512013E+02          2.46763019E+01          2.17792813E+01
        420.0000          1.85202924E+02          2.47268188E+01          2.18143417E+01
        430.0000          1.82194864E+02          2.52322846E+01          2.21629266E+01
        440.0000          1.79335543E+02          2.57373759E+01          2.25072443E+01
        440.9990          1.79057676E+02          2.57878143E+01          2.25414096E+01
        441.0010          1.79057121E+02          2.57879152E+01          2.25414779E+01
        450.0000          1.76614965E+02          2.62421000E+01          2.28473560E+01
        460.0000          1.74024008E+02          2.67464640E+01          2.31833238E+01
        470.0000          1.71554324E+02          2.72504750E+01          2.35152111E+01
        480.0000          1.69198264E+02          2.77541398E+01          2.38430818E+01
        490.0000          1.66948804E+02          2.82574651E+01          2.41670005E+01
        500.0000          1.64799483E+02          2.87604574E+01          2.44870323E+01
        510.0000          1.62744348E+02          2.92631231E+01          2.48032426E+01
        520.0000          1.60777906E+02          2.97654684E+01          2.51156971E+01
        530.0000          1.58895077E+02          3.02674991E+01          2.54244614E+01
        537.9990          1.57446024E+02          3.06688511E+01          2.56688296E+01
        538.0010          1.57445668E+02          3.06689515E+01          2.56688904E+01
        540.0000          1.57091162E+02          3.07692213E+01          2.57296011E+01
        550.0000          1.55361802E+02          3.12706406E+01          2.60311819E+01
        560.0000          1.53702950E+02          3.17717624E+01          2.63292691E+01
        570.0000          1.52110847E+02          3.22725922E+01          2.66239276E+01
        580.0000          1.50581990E+02          3.27731352E+01          2.69152221E+01
        590.0000          1.49113118E+02          3.32733963E+01          2.72032167E+01
        600.0000          1.47701186E+02          3.37733807E+01          2.74879752E+01
        610.0000          1.46343350E+02          3.42730930E+01          2.77695605E+01
        620.0000          1.45036951E+02          3.47725378E+01          2.80480352E+01
        630.0000          1.43779498E+02          3.52717198E+01          2.83234609E+01
        640.0000          1.42568657E+02          3.57706433E+01          2.85958988E+01
        650.0000          1.41402240E+02          3.62693125E+01          2.88654090E+01
        650.9990          1.41288075E+02          3.63191158E+01          2.88921745E+01
        651.0010          1.41287847E+02          3.63192155E+01          2.88922281E+01
        660.0000          1.40278189E+02          3.67677316E+01          2.91320511E+01
        670.0000          1.39194572E+02          3.72659047E+01          2.93958837E+01
        680.0000          1.38149571E+02          3.77638356E+01          2.96569647E+01
        690.0000          1.37141472E+02          3.82615283E+01          2.99153509E+01
        700.0000          1.36168662E+02          3.87589863E+01          3.01710985E+01
        710.0000          1.35229618E+02          3.92562133E+01          3.04242625E+01
        720.0000          1.34322903E+02          3.97532128E+01          3.06748971E+01
        730.0000          1.33447157E+02          4.02499882E+01          3.09230557E+01
        740.0000          1.32601097E+02          4.07465429E+01          3.11687906E+01
        750.0000          1.31783507E+02          4.12428801E+01          3.14121532E+01
        760.0000          1.30993236E+02          4.17390030E+01          3.16531940E+01
        768.9990          1.30304523E+02          4.21852833E+01          3.18681627E+01
        769.0010          1.30304372E+02          4.21853824E+01          3.18682103E+01
        770.0000          1.30229194E+02          4.22349146E+01          3.18919625E+01
        780.0000          1.29490344E+02          4.27306179E+01          3.21285072E+01
        790.0000          1.28775707E+02          4.32261159E+01          3.23628758E+01
        800.0000          1.28084349E+02          4.37214113E+01          3.25951149E+01
        810.0000          1.27415384E+02          4.42165071E+01          3.28252703E+01
        820.0000          1.26767970E+02          4.47114057E+01          3.30533869E+01
        830.0000          1.26141307E+02          4.52061100E+01          3.32795084E+01
        840.0000          1.25534630E+02          4.57006225E+01          3.35036778E+01
        850.0000          1.24947213E+02          4.61949456E+01          3.37259372E+01
        860.0000          1.24378363E+02          4.66890818E+01          3.39463279E+01
        870.0000          1.23827420E+02          4.71830336E+01          3.41648899E+01
        880.0000          1.23293755E+02          4.76768032E+01          3.43816629E+01
        890.0000          1.22776764E+02          4.81703930E+01          3.45966852E+01
        898.9990          1.22325303E+02          4.86144225E+01          3.47887183E+01
        899.0010          1.22325205E+02          4.86145211E+01          3.47887609E+01
        900.0000          1.22275874E+02          4.86638051E+01          3.48099945E+01
        910.0000          1.21790535E+02          4.91570417E+01          3.50216278E+01
        920.0000          1.21320223E+02          4.96501049E+01          3.52316210E+01
        930.0000          1.20864435E+02          5.01429969E+01          3.54400094E+01
        940.0000          1.20422691E+02          5.06357196E+01          3.56468273E+01
        950.0000          1.19994531E+02          5.11282750E+01          3.58521083E+01
        960.0000          1.19579514E+02          5.16206651E+01          3.60558854E+01
        970.0000          1.19177217E+02          5.21128917E+01          3.62581906E+01
        980.0000          1.18787237E+02          5.26049567E+01          3.64590552E+01
