#Energy      C   H  Total
          0.1000          5.86323249E+01          1.22650769E+00          1.20137655E+00
          0.2000          3.23901195E+01          1.12997894E+00          1.09188680E+00
          0.3000          2.32505753E+01          1.09901524E+00          1.04941135E+00
          0.4000          1.85313732E+01          1.08825173E+00          1.02788911E+00
          0.5000          1.56249874E+01          1.08673513E+00          1.01606657E+00
          0.6000          1.36440427E+01          1.09033518E+00          1.00965103E+00
          0.7000          1.22015817E+01          1.09710741E+00          1.00659889E+00
          0.8000          1.11011628E+01          1.10600229E+00          1.00579548E+00
          0.9000          1.02321505E+01          1.11639778E+00          1.00657369E+00
          1.0000          9.52733002E+00          1.12789912E+00          1.00850643E+00
          2.0000          6.21143780E+00          1.27019518E+00          1.05454763E+00
          3.0000          5.03654177E+00          1.42986670E+00          1.11369138E+00
          4.0000          4.43980664E+00          1.59483506E+00          1.17335207E+00
          5.0000          4.08715203E+00          1.76217461E+00          1.23129994E+00
          6.0000          3.86181832E+00          1.93079003E+00          1.28721982E+00
          7.0000          3.71182971E+00          2.10017160E+00          1.34127281E+00
          8.0000          3.61035285E+00          2.27004812E+00          1.39372719E+00
          9.0000          3.54206034E+00          2.44026143E+00          1.44484927E+00
         10.0000          3.49752705E+00          2.61071290E+00          1.49487235E+00
         11.0000          3.47062173E+00          2.78133782E+00          1.54399135E+00
         12.0000          3.45717470E+00          2.95209198E+00          1.59236590E+00
         13.0000          3.45424644E+00          3.12294419E+00          1.64012562E+00
         14.0000          3.45970206E+00          3.29387182E+00          1.68737550E+00
         15.0000          3.47195180E+00          3.46485813E+00          1.73420067E+00
         16.0000          3.48978632E+00          3.63589044E+00          1.78067026E+00
         17.0000          3.51226859E+00          3.80695903E+00          1.82684066E+00
         18.0000          3.53866081E+00          3.97805633E+00          1.87275798E+00
         19.0000          3.56837386E+00          4.14917637E+00          1.91846014E+00
         20.0000          3.60093134E+00          4.32031439E+00          1.96397840E+00
         21.0000          3.63594374E+00          4.49146658E+00          2.00933866E+00
         22.0000          3.67308938E+00          4.66262983E+00          2.05456250E+00
         23.0000          3.71210017E+00          4.83380160E+00          2.09966792E+00
         24.0000          3.75275085E+00          5.00497982E+00          2.14467001E+00
         25.0000          3.79485074E+00          5.17616276E+00          2.18958149E+00
         26.0000          3.83823730E+00          5.34734899E+00          2.23441310E+00
         27.0000          3.88277113E+00          5.51853732E+00          2.27917396E+00
         28.0000          3.92833196E+00          5.68972675E+00          2.32387180E+00
         29.0000          3.97481549E+00          5.86091643E+00          2.36851325E+00
         30.0000          4.02213080E+00          6.03210567E+00          2.41310398E+00
         31.0000          4.07019830E+00          6.20329386E+00          2.45764884E+00
         32.0000          4.11894797E+00          6.37448049E+00          2.50215204E+00
         33.0000          4.16831799E+00          6.54566514E+00          2.54661721E+00
         34.0000          4.21825360E+00          6.71684745E+00          2.59104747E+00
         35.0000          4.26870607E+00          6.88802711E+00          2.63544558E+00
         36.0000          4.31963191E+00          7.05920386E+00          2.67981390E+00
         37.0000          4.37099222E+00          7.23037747E+00          2.72415452E+00
         38.0000          4.42275207E+00          7.40154778E+00          2.76846927E+00
         39.0000          4.47487999E+00          7.57271461E+00          2.81275974E+00
         40.0000          4.52734760E+00          7.74387783E+00          2.85702735E+00
         41.0000          4.58012922E+00          7.91503735E+00          2.90127335E+00
         42.0000          4.63320154E+00          8.08619306E+00          2.94549885E+00
         43.0000          4.68654340E+00          8.25734490E+00          2.98970482E+00
         44.0000          4.74013550E+00          8.42849281E+00          3.03389214E+00
         45.0000          4.79396022E+00          8.59963673E+00          3.07806160E+00
         46.0000          4.84800148E+00          8.77077663E+00          3.12221388E+00
         47.0000          4.90224451E+00          8.94191249E+00          3.16634963E+00
         48.0000          4.95667576E+00          9.11304428E+00          3.21046940E+00
         49.0000          5.01128279E+00          9.28417199E+00          3.25457371E+00
         50.0000          5.06605414E+00          9.45529561E+00          3.29866302E+00
         51.0000          5.12097921E+00          9.62641515E+00          3.34273775E+00
         52.0000          5.17604826E+00          9.79753061E+00          3.38679829E+00
         53.0000          5.23125223E+00          9.96864198E+00          3.43084497E+00
         54.0000          5.28658277E+00          1.01397493E+01          3.47487813E+00
         55.0000          5.34203212E+00          1.03108526E+01          3.51889806E+00
         56.0000          5.39759306E+00          1.04819518E+01          3.56290503E+00
         57.0000          5.45325890E+00          1.06530470E+01          3.60689929E+00
         58.0000          5.50902340E+00          1.08241382E+01          3.65088107E+00
         59.0000          5.56488075E+00          1.09952254E+01          3.69485060E+00
         60.0000          5.62082552E+00          1.11663087E+01          3.73880807E+00
         61.0000          5.67685267E+00          1.13373880E+01          3.78275367E+00
         62.0000          5.73295746E+00          1.15084635E+01          3.82668759E+00
         63.0000          5.78913546E+00          1.16795350E+01          3.87060998E+00
         64.0000          5.84538252E+00          1.18506027E+01          3.91452101E+00
         65.0000          5.90169477E+00          1.20216666E+01          3.95842083E+00
         66.0000          5.95806855E+00          1.21927267E+01          4.00230957E+00
         67.0000          6.01450045E+00          1.23637830E+01          4.04618738E+00
         68.0000          6.07098725E+00          1.25348356E+01          4.09005437E+00
         69.0000          6.12752592E+00          1.27058845E+01          4.13391069E+00
         70.0000          6.18411362E+00          1.28769297E+01          4.17775643E+00
         71.0000          6.24074768E+00          1.30479712E+01          4.22159172E+00
         72.0000          6.29742555E+00          1.32190091E+01          4.26541667E+00
         73.0000          6.35414487E+00          1.33900435E+01          4.30923138E+00
         74.0000          6.41090338E+00          1.35610742E+01          4.35303595E+00
         75.0000          6.46769896E+00          1.37321014E+01          4.39683049E+00
         76.0000          6.52452961E+00          1.39031251E+01          4.44061507E+00
         77.0000          6.58139342E+00          1.40741453E+01          4.48438981E+00
         78.0000          6.63828861E+00          1.42451621E+01          4.52815479E+00
         79.0000          6.69521347E+00          1.44161754E+01          4.57191009E+00
         80.0000          6.75216640E+00          1.45871854E+01          4.61565581E+00
         81.0000          6.80914586E+00          1.47581919E+01          4.65939202E+00
         82.0000          6.86615043E+00          1.49291951E+01          4.70311880E+00
         83.0000          6.92317871E+00          1.51001950E+01          4.74683625E+00
         84.0000          6.98022943E+00          1.52711916E+01          4.79054443E+00
         85.0000          7.03730133E+00          1.54421850E+01          4.83424342E+00
         86.0000          7.09439324E+00          1.56131751E+01          4.87793330E+00
         87.0000          7.15150406E+00          1.57841619E+01          4.92161414E+00
         88.0000          7.20863271E+00          1.59551456E+01          4.96528602E+00
         89.0000          7.26577820E+00          1.61261261E+01          5.00894899E+00
         90.0000          7.32293955E+00          1.62971035E+01          5.05260315E+00
         91.0000          7.38011587E+00          1.64680778E+01          5.09624854E+00
         92.0000          7.43730627E+00          1.66390489E+01          5.13988525E+00
         93.0000          7.49450993E+00          1.68100170E+01          5.18351333E+00
         94.0000          7.55172606E+00          1.69809820E+01          5.22713286E+00
         95.0000          7.60895391E+00          1.71519440E+01          5.27074389E+00
         96.0000          7.66619276E+00          1.73229030E+01          5.31434650E+00
         97.0000          7.72344192E+00          1.74938590E+01          5.35794074E+00
         98.0000          7.78070074E+00          1.76648121E+01          5.40152668E+00
         99.0000          7.83796860E+00          1.78357622E+01          5.44510438E+00
        100.0000          7.89524490E+00          1.80067094E+01          5.48867390E+00
        110.0000          8.46835872E+00          1.97160250E+01          5.92393198E+00
        120.0000          9.04182491E+00          2.14250693E+01          6.35843365E+00
        130.0000          9.61534899E+00          2.31338588E+01          6.79222921E+00
        140.0000          1.01887378E+01          2.48424073E+01          7.22536399E+00
        150.0000          1.07618637E+01          2.65507272E+01          7.65787901E+00
        160.0000          1.13346422E+01          2.82588289E+01          8.08981144E+00
        170.0000          1.19070185E+01          2.99667218E+01          8.52119510E+00
        180.0000          1.24789574E+01          3.16744140E+01          8.95206075E+00
        190.0000          1.30504380E+01          3.33819126E+01          9.38243649E+00
        200.0000          1.36214490E+01          3.50892241E+01          9.81234800E+00
        210.0000          1.41919859E+01          3.67963541E+01          1.02418188E+01
        220.0000          1.47620493E+01          3.85033079E+01          1.06708705E+01
        230.0000          1.53316430E+01          4.02100900E+01          1.10995230E+01
        240.0000          1.59007732E+01          4.19167047E+01          1.15277947E+01
        250.0000          1.64694478E+01          4.36231556E+01          1.19557024E+01
        260.0000          1.70376758E+01          4.53294463E+01          1.23832619E+01
        270.0000          1.76054668E+01          4.70355799E+01          1.28104878E+01
        280.0000          1.81728308E+01          4.87415593E+01          1.32373935E+01
        287.9990          1.86263649E+01          5.01060631E+01          1.35786534E+01
        288.0010          1.86264783E+01          5.01064043E+01          1.35787387E+01
        290.0000          1.87397782E+01          5.04473873E+01          1.36639916E+01
        300.0000          1.93063193E+01          5.21530661E+01          1.40902940E+01
        310.0000          1.98724643E+01          5.38585981E+01          1.45163115E+01
        320.0000          2.04382233E+01          5.55639855E+01          1.49420544E+01
        330.0000          2.10036061E+01          5.72692301E+01          1.53675325E+01
        340.0000          2.15686226E+01          5.89743337E+01          1.57927546E+01
        350.0000          2.21332819E+01          6.06792981E+01          1.62177294E+01
