#Energy      Sr   Ti   O  Total
          0.1000          7.74537821E+04          1.24663943E+04          1.50944152E+02          1.48851756E+02
          0.2000          3.88379655E+04          6.28633930E+03          8.01163656E+01          7.89473640E+01
          0.3000          2.59490243E+04          4.21828676E+03          5.58682094E+01          5.50210347E+01
          0.4000          1.94979720E+04          3.18115503E+03          4.34990897E+01          4.28180706E+01
          0.5000          1.56239855E+04          2.55729522E+03          3.59539320E+01          3.53751743E+01
          0.6000          1.30393474E+04          2.14045704E+03          3.08515924E+01          3.03424583E+01
          0.7000          1.11918947E+04          1.84211303E+03          2.71608091E+01          2.67022984E+01
          0.8000          9.80541922E+03          1.61793953E+03          2.43611529E+01          2.39411919E+01
          0.9000          8.72640763E+03          1.44328189E+03          2.21610651E+01          2.17714823E+01
          1.0000          7.86271621E+03          1.30333040E+03          2.03842588E+01          2.00192547E+01
          2.0000          3.96806867E+03          6.69814159E+02          1.21236911E+01          1.18725232E+01
          3.0000          2.66473215E+03          4.56290465E+02          9.22051442E+00          9.00733109E+00
          4.0000          2.01113937E+03          3.48664351E+02          7.72693584E+00          7.53110012E+00
          5.0000          1.61803184E+03          2.83671918E+02          6.81832340E+00          6.63099830E+00
          6.0000          1.35541570E+03          2.40112041E+02          6.21096081E+00          6.02743004E+00
          7.0000          1.16749150E+03          2.08857429E+02          5.78007348E+00          5.59745331E+00
          8.0000          1.02632060E+03          1.85326253E+02          5.46187890E+00          5.27823077E+00
          9.0000          9.16361864E+02          1.66963902E+02          5.22024636E+00          5.03417118E+00
         10.0000          8.28279749E+02          1.52232559E+02          5.03311682E+00          4.84354708E+00
         11.0000          7.56126998E+02          1.40150626E+02          4.88622962E+00          4.69231361E+00
         12.0000          6.95934734E+02          1.30061836E+02          4.76993967E+00          4.57097253E+00
         13.0000          6.44952631E+02          1.21510634E+02          4.67748040E+00          4.47286109E+00
         14.0000          6.01214375E+02          1.14170799E+02          4.60395884E+00          4.39316196E+00
         15.0000          5.63276749E+02          1.07802529E+02          4.54574559E+00          4.32830242E+00
         16.0000          5.30056440E+02          1.02225560E+02          4.50008941E+00          4.27557468E+00
         17.0000          5.00724372E+02          9.73017437E+01          4.46486531E+00          4.23288779E+00
         18.0000          4.74635216E+02          9.29234058E+01          4.43840495E+00          4.19860056E+00
         19.0000          4.51279125E+02          8.90053713E+01          4.41937953E+00          4.17140628E+00
         20.0000          4.30247929E+02          8.54793689E+01          4.40671714E+00          4.15025126E+00
         21.0000          4.11210981E+02          8.22900292E+01          4.39954319E+00          4.13427621E+00
         21.9990          3.93914101E+02          7.93947350E+01          4.39713702E+00          4.12278268E+00
         22.0000          3.93897570E+02          7.93919694E+01          4.39713678E+00          4.12277321E+00
         22.0010          3.93881041E+02          7.93892040E+01          4.39713655E+00          4.12276374E+00
         22.9990          3.78099051E+02          7.67501631E+01          4.39889449E+00          4.11515958E+00
         23.0000          3.78083922E+02          7.67476346E+01          4.39889816E+00          4.11515372E+00
         23.0010          3.78068794E+02          7.67451063E+01          4.39890183E+00          4.11514788E+00
         24.0000          3.63583440E+02          7.43256773E+01          4.40432418E+00          4.11092440E+00
         25.0000          3.50239290E+02          7.20997234E+01          4.41298954E+00          4.10966857E+00
         26.0000          3.37918686E+02          7.00474214E+01          4.42453216E+00          4.11103189E+00
         27.0000          3.26508449E+02          6.81497028E+01          4.43864186E+00          4.11471114E+00
         28.0000          3.15911517E+02          6.63901992E+01          4.45505132E+00          4.12044535E+00
         29.0000          3.06044167E+02          6.47547798E+01          4.47352887E+00          4.12800870E+00
         30.0000          2.96833802E+02          6.32311812E+01          4.49387277E+00          4.13720486E+00
         31.0000          2.88217159E+02          6.18087081E+01          4.51590647E+00          4.14786233E+00
         32.0000          2.80138855E+02          6.04779901E+01          4.53947480E+00          4.15983068E+00
         33.0000          2.72550197E+02          5.92307820E+01          4.56444083E+00          4.17297745E+00
         34.0000          2.65408199E+02          5.80597997E+01          4.59068323E+00          4.18718560E+00
         35.0000          2.58674770E+02          5.69585842E+01          4.61809414E+00          4.20235131E+00
         36.0000          2.52316034E+02          5.59213870E+01          4.64657733E+00          4.21838224E+00
         37.0000          2.46301767E+02          5.49430757E+01          4.67604666E+00          4.23519602E+00
         37.9990          2.40610457E+02          5.40199511E+01          4.70639402E+00          4.25270108E+00
         38.0000          2.40604911E+02          5.40190528E+01          4.70642483E+00          4.25271893E+00
         38.0010          2.40599365E+02          5.40181545E+01          4.70645564E+00          4.25273679E+00
         38.9990          2.35206440E+02          5.31460381E+01          4.73761061E+00          4.27086641E+00
         39.0000          2.35201175E+02          5.31451880E+01          4.73764223E+00          4.27088487E+00
         39.0010          2.35195911E+02          5.31443379E+01          4.73767384E+00          4.27090334E+00
         39.9990          2.30073691E+02          5.23185655E+01          4.76960366E+00          4.28961537E+00
         40.0000          2.30068687E+02          5.23177601E+01          4.76963602E+00          4.28963439E+00
         40.0010          2.30063684E+02          5.23169547E+01          4.76966838E+00          4.28965342E+00
         41.0000          2.25187701E+02          5.15334075E+01          4.80234935E+00          4.30891392E+00
         42.0000          2.20540344E+02          5.07890859E+01          4.83573064E+00          4.32867508E+00
         43.0000          2.16110399E+02          5.00820313E+01          4.86973297E+00          4.34887408E+00
         44.0000          2.11883117E+02          4.94097285E+01          4.90431362E+00          4.36947123E+00
         45.0000          2.07845056E+02          4.87698841E+01          4.93943354E+00          4.39043048E+00
         46.0000          2.03983938E+02          4.81604020E+01          4.97505703E+00          4.41171902E+00
         47.0000          2.00288525E+02          4.75793628E+01          5.01115135E+00          4.43330696E+00
         48.0000          1.96748513E+02          4.70250055E+01          5.04768642E+00          4.45516703E+00
         49.0000          1.93354434E+02          4.64957116E+01          5.08463460E+00          4.47727430E+00
         50.0000          1.90097576E+02          4.59899909E+01          5.12197039E+00          4.49960596E+00
         51.0000          1.86969907E+02          4.55064689E+01          5.15967026E+00          4.52214112E+00
         52.0000          1.83964010E+02          4.50438757E+01          5.19771246E+00          4.54486062E+00
         53.0000          1.81073026E+02          4.46010365E+01          5.23607687E+00          4.56774684E+00
         54.0000          1.78290601E+02          4.41768628E+01          5.27474482E+00          4.59078362E+00
         55.0000          1.75610843E+02          4.37703444E+01          5.31369897E+00          4.61395608E+00
         56.0000          1.73028278E+02          4.33805425E+01          5.35292324E+00          4.63725051E+00
         57.0000          1.70537814E+02          4.30065837E+01          5.39240262E+00          4.66065428E+00
         58.0000          1.68134711E+02          4.26476543E+01          5.43212315E+00          4.68415574E+00
         59.0000          1.65814545E+02          4.23029952E+01          5.47207181E+00          4.70774414E+00
         60.0000          1.63573190E+02          4.19718974E+01          5.51223643E+00          4.73140955E+00
         61.0000          1.61406787E+02          4.16536982E+01          5.55260563E+00          4.75514279E+00
