#Energy      Y   Al   O  Total
      18000.0000          4.69651617E+02          7.18436910E+02          5.21250378E+02          1.83836629E+02
      19000.0000          4.88946326E+02          7.54717384E+02          5.48215253E+02          1.92518182E+02
      20000.0000          5.08015222E+02          7.90760026E+02          5.75018358E+02          2.01121210E+02
      21000.0000          5.26869171E+02          8.26569270E+02          6.01661676E+02          2.09648529E+02
      22000.0000          5.45517872E+02          8.62149191E+02          6.28147079E+02          2.18102679E+02
      23000.0000          5.63970029E+02          8.97503560E+02          6.54476344E+02          2.26485962E+02
      24000.0000          5.82233501E+02          9.32635890E+02          6.80651169E+02          2.34800477E+02
      25000.0000          6.00315415E+02          9.67549470E+02          7.06673178E+02          2.43048145E+02
      26000.0000          6.18222267E+02          1.00224739E+03          7.32543932E+02          2.51230735E+02
      27000.0000          6.35960001E+02          1.03673258E+03          7.58264938E+02          2.59349881E+02
      28000.0000          6.53534078E+02          1.07100780E+03          7.83837652E+02          2.67407100E+02
      29000.0000          6.70949535E+02          1.10507570E+03          8.09263484E+02          2.75403802E+02
      30000.0000          6.88211031E+02          1.13893879E+03          8.34543807E+02          2.83341307E+02
      31000.0000          7.05322892E+02          1.17259948E+03          8.59679954E+02          2.91220851E+02
      32000.0000          7.22289145E+02          1.20606009E+03          8.84673225E+02          2.99043594E+02
      33000.0000          7.39113550E+02          1.23932285E+03          9.09524889E+02          3.06810632E+02
      34000.0000          7.55799628E+02          1.27238991E+03          9.34236187E+02          3.14522998E+02
      35000.0000          7.72350682E+02          1.30526334E+03          9.58808333E+02          3.22181672E+02
      36000.0000          7.88769819E+02          1.33794516E+03          9.83242517E+02          3.29787583E+02
      37000.0000          8.05059970E+02          1.37043732E+03          1.00753990E+03          3.37341616E+02
      38000.0000          8.21223901E+02          1.40274170E+03          1.03170164E+03          3.44844614E+02
      39000.0000          8.37264234E+02          1.43486016E+03          1.05572884E+03          3.52297381E+02
      40000.0000          8.53183453E+02          1.46679448E+03          1.07962263E+03          3.59700687E+02
      41000.0000          8.68983919E+02          1.49854641E+03          1.10338407E+03          3.67055270E+02
      42000.0000          8.84667879E+02          1.53011767E+03          1.12701425E+03          3.74361838E+02
      43000.0000          9.00237474E+02          1.56150992E+03          1.15051421E+03          3.81621071E+02
      44000.0000          9.15694749E+02          1.59272478E+03          1.17388498E+03          3.88833623E+02
      45000.0000          9.31041659E+02          1.62376386E+03          1.19712760E+03          3.96000125E+02
      46000.0000          9.46280076E+02          1.65462872E+03          1.22024307E+03          4.03121186E+02
      47000.0000          9.61411792E+02          1.68532089E+03          1.24323238E+03          4.10197394E+02
      48000.0000          9.76438531E+02          1.71584187E+03          1.26609651E+03          4.17229318E+02
      49000.0000          9.91361947E+02          1.74619314E+03          1.28883643E+03          4.24217507E+02
      50000.0000          1.00618363E+03          1.77637615E+03          1.31145308E+03          4.31162496E+02
