#Energy      C  Total
          0.1000          3.58334537E+01          3.58334537E+01
          0.2000          1.97953918E+01          1.97953918E+01
          0.3000          1.42097114E+01          1.42097114E+01
          0.4000          1.13255462E+01          1.13255462E+01
          0.5000          9.54929321E+00          9.54929321E+00
          0.6000          8.33862845E+00          8.33862845E+00
          0.7000          7.45706082E+00          7.45706082E+00
          0.8000          6.78453400E+00          6.78453400E+00
          0.9000          6.25343262E+00          6.25343262E+00
          1.0000          5.82267785E+00          5.82267785E+00
          2.0000          3.79615288E+00          3.79615288E+00
          3.0000          3.07810899E+00          3.07810899E+00
          4.0000          2.71341118E+00          2.71341118E+00
          5.0000          2.49788446E+00          2.49788446E+00
          6.0000          2.36017058E+00          2.36017058E+00
          7.0000          2.26850425E+00          2.26850425E+00
          8.0000          2.20648613E+00          2.20648613E+00
          9.0000          2.16474881E+00          2.16474881E+00
         10.0000          2.13753205E+00          2.13753205E+00
         11.0000          2.12108872E+00          2.12108872E+00
         12.0000          2.11287050E+00          2.11287050E+00
         13.0000          2.11108088E+00          2.11108088E+00
         14.0000          2.11441511E+00          2.11441511E+00
         15.0000          2.12190160E+00          2.12190160E+00
         16.0000          2.13280126E+00          2.13280126E+00
         17.0000          2.14654142E+00          2.14654142E+00
         18.0000          2.16267117E+00          2.16267117E+00
         19.0000          2.18083045E+00          2.18083045E+00
         20.0000          2.20072812E+00          2.20072812E+00
         21.0000          2.22212614E+00          2.22212614E+00
         22.0000          2.24482789E+00          2.24482789E+00
         23.0000          2.26866954E+00          2.26866954E+00
         24.0000          2.29351342E+00          2.29351342E+00
         25.0000          2.31924299E+00          2.31924299E+00
         26.0000          2.34575891E+00          2.34575891E+00
         27.0000          2.37297599E+00          2.37297599E+00
         28.0000          2.40082073E+00          2.40082073E+00
         29.0000          2.42922939E+00          2.42922939E+00
         30.0000          2.45814639E+00          2.45814639E+00
         31.0000          2.48752310E+00          2.48752310E+00
         32.0000          2.51731671E+00          2.51731671E+00
         33.0000          2.54748946E+00          2.54748946E+00
         34.0000          2.57800787E+00          2.57800787E+00
         35.0000          2.60884216E+00          2.60884216E+00
         36.0000          2.63996576E+00          2.63996576E+00
         37.0000          2.67135489E+00          2.67135489E+00
         38.0000          2.70298819E+00          2.70298819E+00
         39.0000          2.73484644E+00          2.73484644E+00
         40.0000          2.76691230E+00          2.76691230E+00
         41.0000          2.79917006E+00          2.79917006E+00
         42.0000          2.83160549E+00          2.83160549E+00
         43.0000          2.86420565E+00          2.86420565E+00
         44.0000          2.89695874E+00          2.89695874E+00
         45.0000          2.92985400E+00          2.92985400E+00
         46.0000          2.96288160E+00          2.96288160E+00
         47.0000          2.99603251E+00          2.99603251E+00
         48.0000          3.02929846E+00          3.02929846E+00
         49.0000          3.06267183E+00          3.06267183E+00
         50.0000          3.09614563E+00          3.09614563E+00
         51.0000          3.12971338E+00          3.12971338E+00
         52.0000          3.16336911E+00          3.16336911E+00
         53.0000          3.19710731E+00          3.19710731E+00
         54.0000          3.23092286E+00          3.23092286E+00
         55.0000          3.26481102E+00          3.26481102E+00
         56.0000          3.29876738E+00          3.29876738E+00
         57.0000          3.33278785E+00          3.33278785E+00
         58.0000          3.36686862E+00          3.36686862E+00
         59.0000          3.40100613E+00          3.40100613E+00
         60.0000          3.43519708E+00          3.43519708E+00
         61.0000          3.46943837E+00          3.46943837E+00
         62.0000          3.50372710E+00          3.50372710E+00
         63.0000          3.53806058E+00          3.53806058E+00
         64.0000          3.57243627E+00          3.57243627E+00
         65.0000          3.60685180E+00          3.60685180E+00
         66.0000          3.64130493E+00          3.64130493E+00
         67.0000          3.67579358E+00          3.67579358E+00
