#Energy      Au   O  Total
          0.1000          5.35322958E+05          1.80479997E+02          1.80419170E+02
          0.2000          2.67839204E+05          9.57930545E+01          9.57588062E+01
          0.3000          1.78650564E+05          6.68001648E+01          6.67751966E+01
          0.4000          1.34045630E+05          5.20107301E+01          5.19905574E+01
          0.5000          1.07277252E+05          4.29891813E+01          4.29719612E+01
          0.6000          8.94284649E+04          3.68884466E+01          3.68732367E+01
          0.7000          7.66772559E+04          3.24754729E+01          3.24617243E+01
          0.8000          6.71124137E+04          2.91279969E+01          2.91153603E+01
          0.9000          5.96720509E+04          2.64974091E+01          2.64856481E+01
          1.0000          5.37189777E+04          2.43729280E+01          2.43618747E+01
          2.0000          2.69170438E+04          1.44959821E+01          1.44881796E+01
          3.0000          1.79746491E+04          1.10247293E+01          1.10179714E+01
          4.0000          1.35002438E+04          9.23889620E+00          9.23257788E+00
          5.0000          1.08139904E+04          8.15249194E+00          8.14635054E+00
          6.0000          9.02221905E+03          7.42628429E+00          7.42017666E+00
          7.0000          7.74178605E+03          6.91108351E+00          6.90491950E+00
          8.0000          6.78105605E+03          6.53062653E+00          6.52434313E+00
          9.0000          6.03353292E+03          6.24171279E+00          6.23526239E+00
         10.0000          5.43530121E+03          6.01796686E+00          6.01131114E+00
         11.0000          4.94567689E+03          5.84233766E+00          5.83544424E+00
         12.0000          4.53753062E+03          5.70329279E+00          5.69613323E+00
         13.0000          4.19207620E+03          5.59274165E+00          5.58529019E+00
         14.0000          3.89589196E+03          5.50483384E+00          5.49706657E+00
         15.0000          3.63913327E+03          5.43522977E+00          5.42712408E+00
         16.0000          3.41441515E+03          5.38063986E+00          5.37217407E+00
         17.0000          3.21608919E+03          5.33852332E+00          5.32967636E+00
         18.0000          3.03976134E+03          5.30688535E+00          5.29763661E+00
         19.0000          2.88196199E+03          5.28413715E+00          5.27446631E+00
         20.0000          2.73991498E+03          5.26899706E+00          5.25888396E+00
         21.0000          2.61137253E+03          5.26041936E+00          5.24984393E+00
         22.0000          2.49449527E+03          5.25754208E+00          5.24648429E+00
         23.0000          2.38776348E+03          5.25964811E+00          5.24808788E+00
         24.0000          2.28991051E+03          5.26613587E+00          5.25405306E+00
         25.0000          2.19987223E+03          5.27649681E+00          5.26387116E+00
         26.0000          2.11674807E+03          5.29029802E+00          5.27710917E+00
         27.0000          2.03977079E+03          5.30716862E+00          5.29339603E+00
         28.0000          1.96828265E+03          5.32678898E+00          5.31241193E+00
         29.0000          1.90171656E+03          5.34888211E+00          5.33387972E+00
         30.0000          1.83958097E+03          5.37320678E+00          5.35755796E+00
         31.0000          1.78144770E+03          5.39955190E+00          5.38323537E+00
         32.0000          1.72694204E+03          5.42773195E+00          5.41072618E+00
         33.0000          1.67573468E+03          5.45758317E+00          5.43986645E+00
         34.0000          1.62753498E+03          5.48896053E+00          5.47051090E+00
         35.0000          1.58208552E+03          5.52173504E+00          5.50253032E+00
         36.0000          1.53915744E+03          5.55579165E+00          5.53580941E+00
         37.0000          1.49854659E+03          5.59102736E+00          5.57024497E+00
         38.0000          1.46007029E+03          5.62734975E+00          5.60574429E+00
         39.0000          1.42356460E+03          5.66467558E+00          5.64222393E+00
         40.0000          1.38888193E+03          5.70292973E+00          5.67960852E+00
         41.0000          1.35588909E+03          5.74204421E+00          5.71782981E+00
         42.0000          1.32446555E+03          5.78195734E+00          5.75682591E+00
         43.0000          1.29450200E+03          5.82261305E+00          5.79654047E+00
         44.0000          1.26589904E+03          5.86396023E+00          5.83692215E+00
         45.0000          1.23856609E+03          5.90595221E+00          5.87792404E+00
         46.0000          1.21242047E+03          5.94854629E+00          5.91950319E+00
         47.0000          1.18738649E+03          5.99170332E+00          5.96162023E+00
         48.0000          1.16339479E+03          6.03538736E+00          6.00423895E+00
         49.0000          1.14038165E+03          6.07956534E+00          6.04732603E+00
         50.0000          1.11828845E+03          6.12420677E+00          6.09085077E+00
         51.0000          1.09706116E+03          6.16928352E+00          6.13478478E+00
         52.0000          1.07664990E+03          6.21476960E+00          6.17910183E+00
         53.0000          1.05700855E+03          6.26064092E+00          6.22377761E+00
         54.0000          1.03809440E+03          6.30687518E+00          6.26878955E+00
         55.0000          1.01986786E+03          6.35345165E+00          6.31411671E+00
         56.0000          1.00229214E+03          6.40035108E+00          6.35973960E+00
         57.0000          9.85333040E+02          6.44755555E+00          6.40564006E+00
         58.0000          9.68958723E+02          6.49504836E+00          6.45180115E+00
         59.0000          9.53139497E+02          6.54281394E+00          6.49820708E+00
         60.0000          9.37847651E+02          6.59083772E+00          6.54484305E+00
         60.9990          9.23071839E+02          6.63905773E+00          6.59164828E+00
         61.0000          9.23057290E+02          6.63910612E+00          6.59169523E+00
         61.0010          9.23042743E+02          6.63915451E+00          6.59174219E+00
         62.0000          9.08744187E+02          6.68760640E+00          6.63875068E+00
         63.0000          8.94885651E+02          6.73632663E+00          6.68599723E+00
         64.0000          8.81460407E+02          6.78525564E+00          6.73342347E+00
         65.0000          8.68448489E+02          6.83438291E+00          6.78101869E+00
         66.0000          8.55831139E+02          6.88369860E+00          6.82877280E+00
         67.0000          8.43590717E+02          6.93319342E+00          6.87667629E+00
         68.0000          8.31710621E+02          6.98285866E+00          6.92472023E+00
         69.0000          8.20175209E+02          7.03268607E+00          6.97289618E+00
         70.0000          8.08969732E+02          7.08266792E+00          7.02119615E+00
         71.0000          7.98080270E+02          7.13279690E+00          7.06961264E+00
         72.0000          7.87493677E+02          7.18306610E+00          7.11813852E+00
         73.0000          7.77197526E+02          7.23346900E+00          7.16676705E+00
         74.0000          7.67180061E+02          7.28399943E+00          7.21549186E+00
         75.0000          7.57430150E+02          7.33465156E+00          7.26430690E+00
         75.9990          7.47946618E+02          7.38536904E+00          7.31315751E+00
         76.0000          7.47937251E+02          7.38541986E+00          7.31320645E+00
         76.0010          7.47927883E+02          7.38547069E+00          7.31325539E+00
         77.0000          7.38691363E+02          7.43629911E+00          7.36218506E+00
         78.0000          7.29683002E+02          7.48728434E+00          7.41123756E+00
         79.0000          7.20903162E+02          7.53837085E+00          7.46035905E+00
         80.0000          7.12343285E+02          7.58955417E+00          7.50954485E+00
         81.0000          7.03995239E+02          7.64083006E+00          7.55879053E+00
         82.0000          6.95851284E+02          7.69219448E+00          7.60809186E+00
         83.0000          6.87904055E+02          7.74364362E+00          7.65744479E+00
         84.0000          6.80146537E+02          7.79517382E+00          7.70684550E+00
         85.0000          6.72572043E+02          7.84678161E+00          7.75629032E+00
         86.0000          6.65174200E+02          7.89846370E+00          7.80577574E+00
         86.9990          6.57954069E+02          7.95016514E+00          7.85524890E+00
         87.0000          6.57946925E+02          7.95021692E+00          7.85529844E+00
         87.0010          6.57939781E+02          7.95026871E+00          7.85534798E+00
         88.0000          6.50884411E+02          8.00203829E+00          7.90485521E+00
         89.0000          6.43981114E+02          8.05392495E+00          7.95444302E+00
