#Energy      Mo   S   Al   O  Total
       4600.0000          4.06074081E+02          3.22084277E+02          1.46566538E+02          1.63071866E+02          5.39884284E+01
       4700.0000          4.11682801E+02          3.28255305E+02          1.49470246E+02          1.66452625E+02          5.50252527E+01
       4800.0000          4.17267908E+02          3.34416270E+02          1.52370157E+02          1.69830428E+02          5.60600389E+01
       4900.0000          4.22829891E+02          3.40567377E+02          1.55266337E+02          1.73205308E+02          5.70928274E+01
       5000.0000          4.28369223E+02          3.46708822E+02          1.58158851E+02          1.76577298E+02          5.81236568E+01
       5100.0000          4.33886363E+02          3.52840791E+02          1.61047762E+02          1.79946427E+02          5.91525639E+01
       5200.0000          4.39381759E+02          3.58963462E+02          1.63933127E+02          1.83312724E+02          6.01795842E+01
       5300.0000          4.44855844E+02          3.65077004E+02          1.66815004E+02          1.86676217E+02          6.12047515E+01
       5400.0000          4.50309036E+02          3.71181580E+02          1.69693445E+02          1.90036931E+02          6.22280981E+01
       5500.0000          4.55741743E+02          3.77277344E+02          1.72568501E+02          1.93394891E+02          6.32496554E+01
       5600.0000          4.61154360E+02          3.83364445E+02          1.75440222E+02          1.96750123E+02          6.42694530E+01
       5700.0000          4.66547268E+02          3.89443026E+02          1.78308655E+02          2.00102649E+02          6.52875198E+01
       5800.0000          4.71920839E+02          3.95513222E+02          1.81173844E+02          2.03452491E+02          6.63038833E+01
       5900.0000          4.77275432E+02          4.01575165E+02          1.84035834E+02          2.06799670E+02          6.73185702E+01
       6000.0000          4.82611396E+02          4.07628979E+02          1.86894665E+02          2.10144207E+02          6.83316060E+01
       6100.0000          4.87929069E+02          4.13674786E+02          1.89750377E+02          2.13486121E+02          6.93430153E+01
       6200.0000          4.93228779E+02          4.19712701E+02          1.92603008E+02          2.16825432E+02          7.03528221E+01
       6300.0000          4.98510844E+02          4.25742837E+02          1.95452596E+02          2.20162158E+02          7.13610490E+01
       6400.0000          5.03775573E+02          4.31765300E+02          1.98299176E+02          2.23496316E+02          7.23677185E+01
       6500.0000          5.09023264E+02          4.37780194E+02          2.01142782E+02          2.26827923E+02          7.33728517E+01
       6600.0000          5.14254210E+02          4.43787619E+02          2.03983448E+02          2.30156997E+02          7.43764693E+01
       6700.0000          5.19468691E+02          4.49787671E+02          2.06821204E+02          2.33483551E+02          7.53785914E+01
       6800.0000          5.24666982E+02          4.55780443E+02          2.09656081E+02          2.36807603E+02          7.63792373E+01
       6900.0000          5.29849350E+02          4.61766023E+02          2.12488110E+02          2.40129166E+02          7.73784257E+01
       7000.0000          5.35016052E+02          4.67744500E+02          2.15317318E+02          2.43448256E+02          7.83761746E+01
       7100.0000          5.40167340E+02          4.73715956E+02          2.18143734E+02          2.46764885E+02          7.93725017E+01
       7200.0000          5.45303457E+02          4.79680472E+02          2.20967385E+02          2.50079068E+02          8.03674240E+01
       7300.0000          5.50424642E+02          4.85638126E+02          2.23788295E+02          2.53390817E+02          8.13609579E+01
       7400.0000          5.55531124E+02          4.91588995E+02          2.26606490E+02          2.56700145E+02          8.23531194E+01
       7500.0000          5.60623129E+02          4.97533152E+02          2.29421995E+02          2.60007065E+02          8.33439242E+01
       7600.0000          5.65700874E+02          5.03470667E+02          2.32234833E+02          2.63311588E+02          8.43333873E+01
       7700.0000          5.70764572E+02          5.09401609E+02          2.35045027E+02          2.66613726E+02          8.53215233E+01
       7800.0000          5.75814430E+02          5.15326045E+02          2.37852599E+02          2.69913490E+02          8.63083464E+01
       7900.0000          5.80850648E+02          5.21244041E+02          2.40657570E+02          2.73210891E+02          8.72938706E+01
       8000.0000          5.85873422E+02          5.27155658E+02          2.43459961E+02          2.76505940E+02          8.82781092E+01
       8100.0000          5.90882945E+02          5.33060957E+02          2.46259793E+02          2.79798647E+02          8.92610755E+01
       8200.0000          5.95879400E+02          5.38959999E+02          2.49057085E+02          2.83089023E+02          9.02427820E+01
       8300.0000          6.00862970E+02          5.44852840E+02          2.51851856E+02          2.86377076E+02          9.12232412E+01
       8400.0000          6.05833830E+02          5.50739536E+02          2.54644125E+02          2.89662817E+02          9.22024653E+01
       8500.0000          6.10792153E+02          5.56620143E+02          2.57433910E+02          2.92946255E+02          9.31804659E+01
       8600.0000          6.15738107E+02          5.62494711E+02          2.60221229E+02          2.96227399E+02          9.41572546E+01
       8700.0000          6.20671855E+02          5.68363295E+02          2.63006098E+02          2.99506258E+02          9.51328425E+01
       8800.0000          6.25593557E+02          5.74225942E+02          2.65788535E+02          3.02782841E+02          9.61072405E+01
       8900.0000          6.30503368E+02          5.80082702E+02          2.68568555E+02          3.06057156E+02          9.70804593E+01
       9000.0000          6.35401440E+02          5.85933623E+02          2.71346175E+02          3.09329211E+02          9.80525092E+01
       9100.0000          6.40287922E+02          5.91778751E+02          2.74121410E+02          3.12599015E+02          9.90234004E+01
       9200.0000          6.45162958E+02          5.97618130E+02          2.76894274E+02          3.15866575E+02          9.99931427E+01
       9300.0000          6.50026689E+02          6.03451806E+02          2.79664783E+02          3.19131900E+02          1.00961746E+02
       9400.0000          6.54879255E+02          6.09279820E+02          2.82432951E+02          3.22394996E+02          1.01929219E+02
       9500.0000          6.59720789E+02          6.15102215E+02          2.85198792E+02          3.25655871E+02          1.02895572E+02
       9600.0000          6.64551423E+02          6.20919031E+02          2.87962320E+02          3.28914533E+02          1.03860813E+02
       9700.0000          6.69371287E+02          6.26730308E+02          2.90723547E+02          3.32170988E+02          1.04824952E+02
       9800.0000          6.74180505E+02          6.32536086E+02          2.93482487E+02          3.35425244E+02          1.05787996E+02
       9900.0000          6.78979202E+02          6.38336402E+02          2.96239153E+02          3.38677307E+02          1.06749955E+02
      10000.0000          6.83767497E+02          6.44131293E+02          2.98993557E+02          3.41927183E+02          1.07710836E+02
      11000.0000          7.31103042E+02          7.01789433E+02          3.26415735E+02          3.74307098E+02          1.17262081E+02
      12000.0000          7.77513374E+02          7.58940393E+02          3.53623594E+02          4.06474897E+02          1.26713480E+02
      13000.0000          8.23084340E+02          8.15610475E+02          3.80626042E+02          4.38435591E+02          1.36070988E+02
      14000.0000          8.67887016E+02          8.71821504E+02          4.07430531E+02          4.70193497E+02          1.45339592E+02
      15000.0000          9.11981045E+02          9.27591913E+02          4.34043406E+02          5.01752411E+02          1.54523533E+02
      16000.0000          9.55417083E+02          9.82937505E+02          4.60470153E+02          5.33115717E+02          1.63626466E+02
      17000.0000          9.98238609E+02          1.03787201E+03          4.86715585E+02          5.64286478E+02          1.72651578E+02
      18000.0000          1.04048330E+03          1.09240749E+03          5.12783970E+02          5.95267497E+02          1.81601675E+02
      19000.0000          1.08218407E+03          1.14655468E+03          5.38679139E+02          6.26061362E+02          1.90479252E+02
      20000.0000          1.12336991E+03          1.20032317E+03          5.64404557E+02          6.56670486E+02          1.99286545E+02
      20005.9990          1.12361548E+03          1.20064460E+03          5.64558378E+02          6.56853557E+02          1.99339172E+02
      20006.0010          1.12361556E+03          1.20064471E+03          5.64558429E+02          6.56853618E+02          1.99339189E+02
      21000.0000          1.16406652E+03          1.25372165E+03          5.89963386E+02          6.87097132E+02          2.08025568E+02
      22000.0000          1.20429685E+03          1.30675804E+03          6.15358536E+02          7.17343440E+02          2.16698156E+02
      23000.0000          1.24408148E+03          1.35943958E+03          6.40592698E+02          7.47411440E+02          2.25305981E+02
      24000.0000          1.28343898E+03          1.41177296E+03          6.65668381E+02          7.77303068E+02          2.33850581E+02
      25000.0000          1.32238619E+03          1.46376439E+03          6.90587930E+02          8.07020180E+02          2.42333377E+02
      26000.0000          1.36093845E+03          1.51541964E+03          7.15353554E+02          8.36564560E+02          2.50755685E+02
      27000.0000          1.39910979E+03          1.56674414E+03          7.39967339E+02          8.65937927E+02          2.59118732E+02
      28000.0000          1.43691307E+03          1.61774296E+03          7.64431261E+02          8.95141945E+02          2.67423665E+02
      29000.0000          1.47436018E+03          1.66842093E+03          7.88747205E+02          9.24178224E+02          2.75671559E+02
      30000.0000          1.51146207E+03          1.71878258E+03          8.12916967E+02          9.53048332E+02          2.83863426E+02
      31000.0000          1.54822893E+03          1.76883225E+03          8.36942269E+02          9.81753791E+02          2.92000224E+02
      32000.0000          1.58467022E+03          1.81857406E+03          8.60824763E+02          1.01029609E+03          3.00082857E+02
      33000.0000          1.62079477E+03          1.86801195E+03          8.84566041E+02          1.03867666E+03          3.08112184E+02
      34000.0000          1.65661083E+03          1.91714968E+03          9.08167637E+02          1.06689695E+03          3.16089023E+02
      35000.0000          1.69212615E+03          1.96599089E+03          9.31631032E+02          1.09495832E+03          3.24014154E+02
      36000.0000          1.72734800E+03          2.01453906E+03          9.54957663E+02          1.12286213E+03          3.31888321E+02
      37000.0000          1.76228324E+03          2.06279755E+03          9.78148921E+02          1.15060973E+03          3.39712240E+02
      38000.0000          1.79693832E+03          2.11076960E+03          1.00120616E+03          1.17820241E+03          3.47486593E+02
      39000.0000          1.83131937E+03          2.15845835E+03          1.02413069E+03          1.20564146E+03          3.55212039E+02
      40000.0000          1.86543217E+03          2.20586684E+03          1.04692379E+03          1.23292814E+03          3.62889212E+02
      41000.0000          1.89928223E+03          2.25299802E+03          1.06958672E+03          1.26006369E+03          3.70518721E+02
      42000.0000          1.93287476E+03          2.29985475E+03          1.09212069E+03          1.28704933E+03          3.78101156E+02
      43000.0000          1.96621475E+03          2.34643982E+03          1.11452689E+03          1.31388626E+03          3.85637087E+02
      44000.0000          1.99930694E+03          2.39275595E+03          1.13680648E+03          1.34057567E+03          3.93127065E+02
      45000.0000          2.03215586E+03          2.43880576E+03          1.15896061E+03          1.36711873E+03          4.00571623E+02
      46000.0000          2.06476585E+03          2.48459185E+03          1.18099039E+03          1.39351657E+03          4.07971281E+02
      47000.0000          2.09714104E+03          2.53011672E+03          1.20289691E+03          1.41977034E+03          4.15326541E+02
      48000.0000          2.12928543E+03          2.57538285E+03          1.22468124E+03          1.44588116E+03          4.22637892E+02
      49000.0000          2.16120282E+03          2.62039262E+03          1.24634445E+03          1.47185012E+03          4.29905809E+02
      50000.0000          2.19289689E+03          2.66514841E+03          1.26788755E+03          1.49767833E+03          4.37130757E+02
