#Energy      Si   Au  Total
          0.1000          2.73250251E+03          2.93591220E+05          2.70730517E+03
          0.2000          1.39473248E+03          1.46893081E+05          1.38161422E+03
          0.3000          9.44602014E+02          9.79786805E+04          9.35582166E+02
          0.4000          7.17913988E+02          7.35156587E+04          7.10971031E+02
          0.5000          5.81076924E+02          5.88348746E+04          5.75394100E+02
          0.6000          4.89367541E+02          4.90459295E+04          4.84532996E+02
          0.7000          4.23548173E+02          4.20526875E+04          4.19324799E+02
          0.8000          3.73968550E+02          3.68069688E+04          3.70207147E+02
          0.9000          3.35251468E+02          3.27263943E+04          3.31851953E+02
          1.0000          3.04161742E+02          2.94615053E+04          3.01053652E+02
          2.0000          1.62353826E+02          1.47623180E+04          1.60587705E+02
          3.0000          1.13911053E+02          9.85797280E+03          1.12609822E+02
          4.0000          8.92771615E+01          7.40404084E+03          8.82134923E+01
          5.0000          7.43088291E+01          5.93079854E+03          7.33893115E+01
          6.0000          6.42327872E+01          4.94812385E+03          6.34096513E+01
          7.0000          5.69820506E+01          4.24588629E+03          5.62274483E+01
          8.0000          5.15137340E+01          3.71898587E+03          5.08099374E+01
          9.0000          4.72437441E+01          3.30901610E+03          4.65787267E+01
         10.0000          4.38190323E+01          2.98092336E+03          4.31842319E+01
         11.0000          4.10134023E+01          2.71239499E+03          4.04024870E+01
         12.0000          3.86751051E+01          2.48855224E+03          3.80832455E+01
         13.0000          3.66984648E+01          2.29909206E+03          3.61218818E+01
         14.0000          3.50075813E+01          2.13665350E+03          3.44432525E+01
         15.0000          3.35465044E+01          1.99583739E+03          3.29919676E+01
         16.0000          3.22730650E+01          1.87259353E+03          3.17262809E+01
         17.0000          3.11548653E+01          1.76382413E+03          3.06141205E+01
         18.0000          3.01665954E+01          1.66711931E+03          2.96304314E+01
         19.0000          2.92881888E+01          1.58057622E+03          2.87553501E+01
         20.0000          2.85035277E+01          1.50267230E+03          2.79729217E+01
         21.0000          2.77995140E+01          1.43217479E+03          2.72701807E+01
         22.0000          2.71653911E+01          1.36807491E+03          2.66364797E+01
         23.0000          2.65922419E+01          1.30953919E+03          2.60629921E+01
         24.0000          2.60726101E+01          1.25587294E+03          2.55423372E+01
         25.0000          2.56002117E+01          1.20649257E+03          2.50682949E+01
         26.0000          2.51697129E+01          1.16090416E+03          2.46355856E+01
         27.0000          2.47765564E+01          1.11868693E+03          2.42396982E+01
         28.0000          2.44168242E+01          1.07948015E+03          2.38767545E+01
         29.0000          2.40871295E+01          1.04297280E+03          2.35434021E+01
         30.0000          2.37845291E+01          1.00889531E+03          2.32367273E+01
         31.0000          2.35064526E+01          9.77012837E+02          2.29541860E+01
         32.0000          2.32506454E+01          9.47119889E+02          2.26935463E+01
         33.0000          2.30151213E+01          9.19035846E+02          2.24528419E+01
         34.0000          2.27981236E+01          8.92601323E+02          2.22303338E+01
         35.0000          2.25980928E+01          8.67675133E+02          2.20244781E+01
         36.0000          2.24136397E+01          8.44131758E+02          2.18338995E+01
         37.0000          2.22435226E+01          8.21859242E+02          2.16573685E+01
         38.0000          2.20866280E+01          8.00757397E+02          2.14937828E+01
         39.0000          2.19419550E+01          7.80736303E+02          2.13421513E+01
         40.0000          2.18086008E+01          7.61715024E+02          2.12015801E+01
         41.0000          2.16857491E+01          7.43620510E+02          2.10712608E+01
         42.0000          2.15726601E+01          7.26386662E+02          2.09504609E+01
         43.0000          2.14686616E+01          7.09953524E+02          2.08385147E+01
         44.0000          2.13731416E+01          6.94266585E+02          2.07348159E+01
         45.0000          2.12855414E+01          6.79276171E+02          2.06388114E+01
         46.0000          2.12053502E+01          6.64936928E+02          2.05499950E+01
         47.0000          2.11320998E+01          6.51207355E+02          2.04679031E+01
         48.0000          2.10653606E+01          6.38049405E+02          2.03921100E+01
         49.0000          2.10047373E+01          6.25428135E+02          2.03222241E+01
         50.0000          2.09498658E+01          6.13311394E+02          2.02578846E+01
         51.0000          2.09004102E+01          6.01669550E+02          2.01987587E+01
         52.0000          2.08560598E+01          5.90475247E+02          2.01445385E+01
         53.0000          2.08165271E+01          5.79703193E+02          2.00949392E+01
         54.0000          2.07815457E+01          5.69329965E+02          2.00496965E+01
         55.0000          2.07508681E+01          5.59333844E+02          2.00085653E+01
         56.0000          2.07242644E+01          5.49694659E+02          1.99713175E+01
         57.0000          2.07015203E+01          5.40393653E+02          1.99377409E+01
         58.0000          2.06824363E+01          5.31413363E+02          1.99076375E+01
         59.0000          2.06668263E+01          5.22737505E+02          1.98808228E+01
         60.0000          2.06545163E+01          5.14350882E+02          1.98571243E+01
         60.9990          2.06453511E+01          5.06247272E+02          1.98363997E+01
         61.0000          2.06453435E+01          5.06239293E+02          1.98363804E+01
         61.0010          2.06453358E+01          5.06231314E+02          1.98363611E+01
         62.0000          2.06391555E+01          4.98389449E+02          1.98184402E+01
         63.0000          2.06358096E+01          4.90788907E+02          1.98031619E+01
         64.0000          2.06351718E+01          4.83425999E+02          1.97904126E+01
         65.0000          2.06371162E+01          4.76289775E+02          1.97800674E+01
         66.0000          2.06415244E+01          4.69369946E+02          1.97720090E+01
         67.0000          2.06482852E+01          4.62656839E+02          1.97661268E+01
         68.0000          2.06572936E+01          4.56141348E+02          1.97623167E+01
         69.0000          2.06684509E+01          4.49814895E+02          1.97604807E+01
         70.0000          2.06816637E+01          4.43669390E+02          1.97605261E+01
         71.0000          2.06968439E+01          4.37697200E+02          1.97623655E+01
         72.0000          2.07139084E+01          4.31891115E+02          1.97659163E+01
         73.0000          2.07327785E+01          4.26244319E+02          1.97711003E+01
         74.0000          2.07533795E+01          4.20750364E+02          1.97778436E+01
         75.0000          2.07756410E+01          4.15403147E+02          1.97860760E+01
         75.9990          2.07994715E+01          4.10202022E+02          1.97957209E+01
         76.0000          2.07994961E+01          4.10196885E+02          1.97957312E+01
         76.0010          2.07995207E+01          4.10191747E+02          1.97957416E+01
         77.0000          2.08248814E+01          4.05126093E+02          1.98067461E+01
         78.0000          2.08517365E+01          4.00185569E+02          1.98190610E+01
         79.0000          2.08800045E+01          3.95370375E+02          1.98326190E+01
         80.0000          2.09096308E+01          3.90675817E+02          1.98473662E+01
         81.0000          2.09405639E+01          3.86097435E+02          1.98632512E+01
         82.0000          2.09727545E+01          3.81630984E+02          1.98802251E+01
         83.0000          2.10061558E+01          3.77272425E+02          1.98982414E+01
         84.0000          2.10407233E+01          3.73017910E+02          1.99172559E+01
         85.0000          2.10764144E+01          3.68863774E+02          1.99372262E+01
         86.0000          2.11131885E+01          3.64806519E+02          1.99581122E+01
         86.9990          2.11509687E+01          3.60846728E+02          1.99798531E+01
         87.0000          2.11510070E+01          3.60842810E+02          1.99798752E+01
         87.0010          2.11510454E+01          3.60838892E+02          1.99798974E+01
         88.0000          2.11898330E+01          3.56969462E+02          2.00024788E+01
         89.0000          2.12296310E+01          3.53183434E+02          2.00258877E+01
         90.0000          2.12703675E+01          3.49481820E+02          2.00500685E+01
         90.9990          2.13119680E+01          3.45865421E+02          2.00749638E+01
         91.0000          2.13120101E+01          3.45861841E+02          2.00749891E+01
         91.0010          2.13120522E+01          3.45858261E+02          2.00750144E+01
         92.0000          2.13545281E+01          3.42320838E+02          2.01006189E+01
         93.0000          2.13978918E+01          3.38856269E+02          2.01269286E+01
         94.0000          2.14420731E+01          3.35465696E+02          2.01538902E+01
         95.0000          2.14870448E+01          3.32146787E+02          2.01814766E+01
         96.0000          2.15327810E+01          3.28897305E+02          2.02096622E+01
         97.0000          2.15792569E+01          3.25715107E+02          2.02384222E+01
         98.0000          2.16264485E+01          3.22598134E+02          2.02677330E+01
         99.0000          2.16743329E+01          3.19544414E+02          2.02975718E+01
        100.0000          2.17228882E+01          3.16552052E+02          2.03279168E+01
        103.9990          2.19233568E+01          3.05163563E+02          2.04539199E+01
        104.0010          2.19234594E+01          3.05158088E+02          2.04539847E+01
        110.0000          2.22410757E+01          2.89635412E+02          2.06549817E+01
        113.9990          2.24625778E+01          2.80200684E+02          2.07954861E+01
        114.0010          2.24626904E+01          2.80196132E+02          2.07955575E+01
        120.0000          2.28075320E+01          2.67230369E+02          2.10140301E+01
        130.0000          2.34102444E+01          2.48296898E+02          2.13932215E+01
        140.0000          2.40406708E+01          2.32091805E+02          2.17842062E+01
        150.0000          2.46925848E+01          2.18069863E+02          2.21809783E+01
        153.9990          2.49582205E+01          2.12978412E+02          2.23402429E+01
        154.0010          2.49583540E+01          2.12975932E+02          2.23403226E+01
        160.0000          2.53613523E+01          2.05822007E+02          2.25791530E+01
        170.0000          2.60434618E+01          1.95035321E+02          2.29754971E+01
        180.0000          2.67362108E+01          1.85466355E+02          2.33676136E+01
        190.0000          2.74374912E+01          1.76922861E+02          2.37537242E+01
        200.0000          2.81456391E+01          1.69251006E+02          2.41325162E+01
        210.0000          2.88593272E+01          1.62326230E+02          2.45030318E+01
        220.0000          2.95774870E+01          1.56046603E+02          2.48645872E+01
        230.0000          3.02992511E+01          1.50327907E+02          2.52167119E+01
        240.0000          3.10239106E+01          1.45099950E+02          2.55591029E+01
        250.0000          3.17508817E+01          1.40303766E+02          2.58915893E+01
        260.0000          3.24796817E+01          1.35889452E+02          2.62141050E+01
        270.0000          3.32099086E+01          1.31814497E+02          2.65266666E+01
        280.0000          3.39412265E+01          1.28042460E+02          2.68293569E+01
        290.0000          3.46733538E+01          1.24541924E+02          2.71223105E+01
        300.0000          3.54060532E+01          1.21285662E+02          2.74057029E+01
        310.0000          3.61391242E+01          1.18249957E+02          2.76797416E+01
        320.0000          3.68723972E+01          1.15414058E+02          2.79446585E+01
        330.0000          3.76057282E+01          1.12759730E+02          2.82007039E+01
        338.9990          3.82656008E+01          1.10512983E+02          2.84237528E+01
        339.0010          3.82657474E+01          1.10512498E+02          2.84238016E+01
        340.0000          3.83389948E+01          1.10270883E+02          2.84481414E+01
        350.0000          3.90720929E+01          1.07933267E+02          2.86872440E+01
        356.9990          3.95850400E+01          1.06380295E+02          2.88497830E+01
        357.0010          3.95851866E+01          1.06379861E+02          2.88498289E+01
        360.0000          3.98049339E+01          1.05734215E+02          2.89182908E+01
        370.0000          4.05374421E+01          1.03662431E+02          2.91415637E+01
        380.0000          4.12695533E+01          1.01707808E+02          2.93573456E+01
        390.0000          4.20012128E+01          9.98612785E+01          2.95659182E+01
        400.0000          4.27323740E+01          9.81146801E+01          2.97675605E+01
        410.0000          4.34629975E+01          9.64606491E+01          2.99625478E+01
        420.0000          4.41930499E+01          9.48925233E+01          3.01511503E+01
        430.0000          4.49225032E+01          9.34042615E+01          3.03336324E+01
        440.0000          4.56513340E+01          9.19903721E+01          3.05102525E+01
        450.0000          4.63795226E+01          9.06458529E+01          3.06812616E+01
        460.0000          4.71070530E+01          8.93661371E+01          3.08469037E+01
        470.0000          4.78339121E+01          8.81470474E+01          3.10074155E+01
        480.0000          4.85600893E+01          8.69847555E+01          3.11630258E+01
        490.0000          4.92855763E+01          8.58757462E+01          3.13139555E+01
        500.0000          5.00103670E+01          8.48167860E+01          3.14604180E+01
        510.0000          5.07344566E+01          8.38048961E+01          3.16026187E+01
        520.0000          5.14578423E+01          8.28373272E+01          3.17407554E+01
        530.0000          5.21805222E+01          8.19115380E+01          3.18750180E+01
        540.0000          5.29024958E+01          8.10251762E+01          3.20055891E+01
        547.9990          5.34794942E+01          8.03430876E+01          3.21074936E+01
        548.0010          5.34796384E+01          8.03429200E+01          3.21075188E+01
        550.0000          5.36237634E+01          8.01760612E+01          3.21326441E+01
        560.0000          5.43443263E+01          7.93621686E+01          3.22563507E+01
        570.0000          5.50641866E+01          7.85816165E+01          3.23768700E+01
        580.0000          5.57833469E+01          7.78326534E+01          3.24943562E+01
        590.0000          5.65018105E+01          7.71136470E+01          3.26089567E+01
        600.0000          5.72195811E+01          7.64230742E+01          3.27208127E+01
        610.0000          5.79366629E+01          7.57595123E+01          3.28300590E+01
        620.0000          5.86530604E+01          7.51216308E+01          3.29368247E+01
        630.0000          5.93687786E+01          7.45081841E+01          3.30412328E+01
        640.0000          6.00838225E+01          7.39180047E+01          3.31434009E+01
        644.9990          6.04410219E+01          7.36313522E+01          3.31936702E+01
