#Energy      Hg   O  Total
          0.1000          1.58747009E+06          7.69750116E+02          7.69377052E+02
          0.2000          7.94248983E+05          4.08558932E+02          4.08348879E+02
          0.3000          5.29762740E+05          2.84903787E+02          2.84750650E+02
          0.4000          3.97488921E+05          2.21826608E+02          2.21702883E+02
          0.5000          3.18108963E+05          1.83349556E+02          1.83243939E+02
          0.6000          2.65179732E+05          1.57329823E+02          1.57236536E+02
          0.7000          2.27367136E+05          1.38508419E+02          1.38424093E+02
          0.8000          1.99003537E+05          1.24231380E+02          1.24153874E+02
          0.9000          1.76939949E+05          1.13011880E+02          1.12939745E+02
          1.0000          1.59286814E+05          1.03950934E+02          1.03883139E+02
          2.0000          7.98098035E+04          6.18255989E+01          6.17777421E+01
          3.0000          5.32931198E+04          4.70206492E+01          4.69791994E+01
          4.0000          4.00254967E+04          3.94040423E+01          3.93652882E+01
          5.0000          3.20602632E+04          3.47705105E+01          3.47328414E+01
          6.0000          2.67473996E+04          3.16732230E+01          3.16357612E+01
          7.0000          2.29507708E+04          2.94758834E+01          2.94380758E+01
          8.0000          2.01021258E+04          2.78532282E+01          2.78146885E+01
          9.0000          1.78856771E+04          2.66210064E+01          2.65814426E+01
         10.0000          1.61119006E+04          2.56667264E+01          2.56259035E+01
         11.0000          1.46601595E+04          2.49176650E+01          2.48753846E+01
         12.0000          1.34500101E+04          2.43246363E+01          2.42807241E+01
         13.0000          1.24257481E+04          2.38531339E+01          2.38074319E+01
         14.0000          1.15475760E+04          2.34782057E+01          2.34305673E+01
         15.0000          1.07863030E+04          2.31813432E+01          2.31316299E+01
         16.0000          1.01200317E+04          2.29485164E+01          2.28965953E+01
         17.0000          9.53201393E+03          2.27688886E+01          2.27146307E+01
         18.0000          9.00922085E+03          2.26339522E+01          2.25772312E+01
         19.0000          8.54136478E+03          2.25369307E+01          2.24776221E+01
         20.0000          8.12021413E+03          2.24723580E+01          2.24103383E+01
         21.0000          7.73910416E+03          2.24357740E+01          2.23709204E+01
         22.0000          7.39258101E+03          2.24235023E+01          2.23556920E+01
         23.0000          7.07613861E+03          2.24324846E+01          2.23615948E+01
         24.0000          6.78602135E+03          2.24601550E+01          2.23860623E+01
         25.0000          6.51907403E+03          2.25043445E+01          2.24269251E+01
         26.0000          6.27262648E+03          2.25632069E+01          2.24823359E+01
         27.0000          6.04440382E+03          2.26351603E+01          2.25507121E+01
         28.0000          5.83245585E+03          2.27188415E+01          2.26306894E+01
         29.0000          5.63510115E+03          2.28130690E+01          2.27210853E+01
         30.0000          5.45088230E+03          2.29168142E+01          2.28208698E+01
         31.0000          5.27852977E+03          2.30291765E+01          2.29291412E+01
         32.0000          5.11693258E+03          2.31493649E+01          2.30451072E+01
         33.0000          4.96511429E+03          2.32766808E+01          2.31680679E+01
         34.0000          4.82221323E+03          2.34105058E+01          2.32974033E+01
         35.0000          4.68746614E+03          2.35502896E+01          2.34325621E+01
         36.0000          4.56019445E+03          2.36955416E+01          2.35730520E+01
         37.0000          4.43979290E+03          2.38458225E+01          2.37184324E+01
         38.0000          4.32571988E+03          2.40007380E+01          2.38683076E+01
         39.0000          4.21748928E+03          2.41599333E+01          2.40223212E+01
         40.0000          4.11466353E+03          2.43230879E+01          2.41801513E+01
         41.0000          4.01684775E+03          2.44899118E+01          2.43415065E+01
         42.0000          3.92368459E+03          2.46601419E+01          2.45061223E+01
         43.0000          3.83484993E+03          2.48335392E+01          2.46737580E+01
         44.0000          3.75004907E+03          2.50098856E+01          2.48441943E+01
         45.0000          3.66901350E+03          2.51889820E+01          2.50172305E+01
         46.0000          3.59149801E+03          2.53706465E+01          2.51926832E+01
         47.0000          3.51727827E+03          2.55547119E+01          2.53703839E+01
         48.0000          3.44614858E+03          2.57410251E+01          2.55501779E+01
         49.0000          3.37792005E+03          2.59294449E+01          2.57319226E+01
         50.0000          3.31241887E+03          2.61198413E+01          2.59154866E+01
         51.0000          3.24948486E+03          2.63120944E+01          2.61007485E+01
         52.0000          3.18897013E+03          2.65060932E+01          2.62875959E+01
         53.0000          3.13073795E+03          2.67017352E+01          2.64759248E+01
         54.0000          3.07466171E+03          2.68989250E+01          2.66656385E+01
         55.0000          3.02062398E+03          2.70975744E+01          2.68566474E+01
         56.0000          2.96851574E+03          2.72976013E+01          2.70488678E+01
         57.0000          2.91823558E+03          2.74989291E+01          2.72422220E+01
         58.0000          2.86968910E+03          2.77014867E+01          2.74366372E+01
         59.0000          2.82278827E+03          2.79052076E+01          2.76320458E+01
         60.0000          2.77745094E+03          2.81100299E+01          2.78283843E+01
         61.0000          2.73360034E+03          2.83158954E+01          2.80255933E+01
         62.0000          2.69116464E+03          2.85227499E+01          2.82236172E+01
         63.0000          2.65007657E+03          2.87305424E+01          2.84224038E+01
         64.0000          2.61027305E+03          2.89392254E+01          2.86219040E+01
         65.0000          2.57169489E+03          2.91487541E+01          2.88220717E+01
         66.0000          2.53428648E+03          2.93590863E+01          2.90228635E+01
         67.0000          2.49799552E+03          2.95701825E+01          2.92242387E+01
         67.9990          2.46280748E+03          2.97817933E+01          2.94259565E+01
         68.0000          2.46277278E+03          2.97820055E+01          2.94261586E+01
         68.0010          2.46273808E+03          2.97822177E+01          2.94263608E+01
         69.0000          2.42857190E+03          2.99945203E+01          2.96285870E+01
         70.0000          2.39534915E+03          3.02076937E+01          2.98314894E+01
         71.0000          2.36306325E+03          3.04214946E+01          3.00348335E+01
         72.0000          2.33167525E+03          3.06358935E+01          3.02385885E+01
         73.0000          2.30114829E+03          3.08508627E+01          3.04427254E+01
         74.0000          2.27144751E+03          3.10663758E+01          3.06472167E+01
         75.0000          2.24253993E+03          3.12824080E+01          3.08520361E+01
         76.0000          2.21439428E+03          3.14989356E+01          3.10571591E+01
         77.0000          2.18698092E+03          3.17159364E+01          3.12625619E+01
         78.0000          2.16027172E+03          3.19333893E+01          3.14682223E+01
         79.0000          2.13423999E+03          3.21512740E+01          3.16741191E+01
         80.0000          2.10886036E+03          3.23695717E+01          3.18802319E+01
         81.0000          2.08410872E+03          3.25882642E+01          3.20865415E+01
         82.0000          2.05996212E+03          3.28073344E+01          3.22930296E+01
         83.0000          2.03639872E+03          3.30267658E+01          3.24996788E+01
         84.0000          2.01339773E+03          3.32465429E+01          3.27064722E+01
         84.9990          1.99096153E+03          3.34664307E+01          3.29131870E+01
         85.0000          1.99093934E+03          3.34666510E+01          3.29133940E+01
         85.0010          1.99091714E+03          3.34668712E+01          3.29136010E+01
         86.0000          1.96900463E+03          3.36870759E+01          3.31204290E+01
         87.0000          1.94757558E+03          3.39078042E+01          3.33275626E+01
         88.0000          1.92663497E+03          3.41288232E+01          3.35347810E+01
         89.0000          1.90616637E+03          3.43501207E+01          3.37420708E+01
         90.0000          1.88615406E+03          3.45716849E+01          3.39494194E+01
         91.0000          1.86658302E+03          3.47935048E+01          3.41568145E+01
         92.0000          1.84743888E+03          3.50155698E+01          3.43642445E+01
         93.0000          1.82870790E+03          3.52378697E+01          3.45716983E+01
