#Energy      K   Mg   Al   Si   H   O  Total
        760.0000          2.20003079E+02          9.21864172E+01          2.61975003E+02          8.34540990E+01          1.49207851E+03          3.23541669E+01          1.59309502E+01
        770.0000          2.21960207E+02          9.31870633E+01          2.64746612E+02          8.43137815E+01          1.51151789E+03          3.27385749E+01          1.61080754E+01
        780.0000          2.23915566E+02          9.41869927E+01          2.67516059E+02          8.51727456E+01          1.53095598E+03          3.31228214E+01          1.62850705E+01
        790.0000          2.25869153E+02          9.51862145E+01          2.70283368E+02          8.60309986E+01          1.55039281E+03          3.35069088E+01          1.64619372E+01
        800.0000          2.27820965E+02          9.61847371E+01          2.73048564E+02          8.68885479E+01          1.56982836E+03          3.38908392E+01          1.66386773E+01
        810.0000          2.29771002E+02          9.71825693E+01          2.75811671E+02          8.77454009E+01          1.58926264E+03          3.42746147E+01          1.68152925E+01
        820.0000          2.31719264E+02          9.81797194E+01          2.78572713E+02          8.86015649E+01          1.60869565E+03          3.46582376E+01          1.69917846E+01
        830.0000          2.33665754E+02          9.91761956E+01          2.81331713E+02          8.94570469E+01          1.62812740E+03          3.50417097E+01          1.71681551E+01
        840.0000          2.35610473E+02          1.00172006E+02          2.84088694E+02          9.03118542E+01          1.64755789E+03          3.54250332E+01          1.73444057E+01
        850.0000          2.37553424E+02          1.01167159E+02          2.86843680E+02          9.11659938E+01          1.66698711E+03          3.58082098E+01          1.75205379E+01
        860.0000          2.39494612E+02          1.02161662E+02          2.89596692E+02          9.20194727E+01          1.68641508E+03          3.61912417E+01          1.76965534E+01
        870.0000          2.41434041E+02          1.03155522E+02          2.92347754E+02          9.28722977E+01          1.70584179E+03          3.65741305E+01          1.78724536E+01
        880.0000          2.43371717E+02          1.04148748E+02          2.95096886E+02          9.37244759E+01          1.72526725E+03          3.69568781E+01          1.80482400E+01
        890.0000          2.45307646E+02          1.05141347E+02          2.97844110E+02          9.45760138E+01          1.74469146E+03          3.73394863E+01          1.82239141E+01
        900.0000          2.47241833E+02          1.06133326E+02          3.00589447E+02          9.54269181E+01          1.76411441E+03          3.77219568E+01          1.83994771E+01
        910.0000          2.49174287E+02          1.07124692E+02          3.03332919E+02          9.62771954E+01          1.78353612E+03          3.81042913E+01          1.85749307E+01
        920.0000          2.51105014E+02          1.08115452E+02          3.06074545E+02          9.71268523E+01          1.80295658E+03          3.84864914E+01          1.87502759E+01
        930.0000          2.53034022E+02          1.09105613E+02          3.08814346E+02          9.79758951E+01          1.82237580E+03          3.88685587E+01          1.89255143E+01
        940.0000          2.54961320E+02          1.10095182E+02          3.11552342E+02          9.88243302E+01          1.84179378E+03          3.92504948E+01          1.91006471E+01
        950.0000          2.56886915E+02          1.11084166E+02          3.14288552E+02          9.96721638E+01          1.86121051E+03          3.96323013E+01          1.92756756E+01
        960.0000          2.58810817E+02          1.12072570E+02          3.17022995E+02          1.00519402E+02          1.88062601E+03          4.00139795E+01          1.94506010E+01
        970.0000          2.60733034E+02          1.13060402E+02          3.19755690E+02          1.01366051E+02          1.90004027E+03          4.03955311E+01          1.96254244E+01
        980.0000          2.62653576E+02          1.14047668E+02          3.22486656E+02          1.02212117E+02          1.91945329E+03          4.07769574E+01          1.98001472E+01
        990.0000          2.64572452E+02          1.15034374E+02          3.25215912E+02          1.03057605E+02          1.93886508E+03          4.11582598E+01          1.99747705E+01
       1000.0000          2.66489672E+02          1.16020525E+02          3.27943474E+02          1.03902521E+02          1.95827563E+03          4.15394398E+01          2.01492953E+01
       1100.0000          2.85572959E+02          1.25852833E+02          3.55129733E+02          1.12321470E+02          2.15231370E+03          4.53447841E+01          2.18893677E+01
       1200.0000          3.04501793E+02          1.35635679E+02          3.82164428E+02          1.20689055E+02          2.34622995E+03          4.91391937E+01          2.36207019E+01
       1300.0000          3.23286429E+02          1.45373626E+02          4.09061323E+02          1.29009833E+02          2.54002547E+03          5.29236531E+01          2.53441306E+01
       1307.9990          3.24783082E+02          1.46150745E+02          4.11207217E+02          1.29673512E+02          2.55552199E+03          5.32259676E+01          2.54816678E+01
       1308.0010          3.24783456E+02          1.46150939E+02          4.11207754E+02          1.29673678E+02          2.55552586E+03          5.32260432E+01          2.54817022E+01
       1400.0000          3.41936655E+02          1.55070537E+02          4.35832163E+02          1.37287729E+02          2.73370117E+03          5.66989787E+01          2.70603505E+01
       1500.0000          3.60461541E+02          1.64729709E+02          4.62487032E+02          1.45526137E+02          2.92725780E+03          6.04658561E+01          2.87699512E+01
       1563.9990          3.72255366E+02          1.70893005E+02          4.79489096E+02          1.50779291E+02          3.05106992E+03          6.28724591E+01          2.98608406E+01
       1564.0010          3.72255733E+02          1.70893197E+02          4.79489627E+02          1.50779455E+02          3.05107379E+03          6.28725342E+01          2.98608746E+01
       1600.0000          3.78869374E+02          1.74353979E+02          4.89034645E+02          1.53728005E+02          3.12069601E+03          6.42248676E+01          3.04734366E+01
       1700.0000          3.97167674E+02          1.83945803E+02          5.15482581E+02          1.61895911E+02          3.31401637E+03          6.79765124E+01          3.21712411E+01
       1800.0000          4.15363242E+02          1.93507326E+02          5.41837472E+02          1.70032116E+02          3.50721938E+03          7.17212222E+01          3.38637426E+01
       1843.9990          4.23338174E+02          1.97705194E+02          5.53405416E+02          1.73602446E+02          3.59218971E+03          7.33667589E+01          3.46068331E+01
       1844.0010          4.23338536E+02          1.97705385E+02          5.53405941E+02          1.73602608E+02          3.59219358E+03          7.33668337E+01          3.46068668E+01
       1900.0000          4.33462233E+02          2.03040430E+02          5.68105161E+02          1.78138619E+02          3.70030548E+03          7.54593736E+01          3.55512718E+01
       2000.0000          4.51470212E+02          2.12546779E+02          5.94290817E+02          1.86217194E+02          3.89327506E+03          7.91912973E+01          3.72341202E+01
       2100.0000          4.69392225E+02          2.22027851E+02          6.20399043E+02          1.94269422E+02          4.08612848E+03          8.29172854E+01          3.89125466E+01
       2200.0000          4.87232855E+02          2.31484965E+02          6.46433956E+02          2.02296720E+02          4.27886607E+03          8.66375976E+01          4.05867813E+01
       2300.0000          5.04996274E+02          2.40919306E+02          6.72399253E+02          2.10300365E+02          4.47148813E+03          9.03524661E+01          4.22570311E+01
       2400.0000          5.22686287E+02          2.50331941E+02          6.98298270E+02          2.18281506E+02          4.66399494E+03          9.40620994E+01          4.39234819E+01
       2500.0000          5.40306376E+02          2.59723835E+02          7.24134030E+02          2.26241190E+02          4.85638674E+03          9.77666855E+01          4.55863020E+01
       2600.0000          5.57859733E+02          2.69095864E+02          7.49909277E+02          2.34180367E+02          5.04866379E+03          1.01466395E+02          4.72456439E+01
       2700.0000          5.75349292E+02          2.78448828E+02          7.75626519E+02          2.42099904E+02          5.24082631E+03          1.05161382E+02          4.89016469E+01
       2800.0000          5.92777757E+02          2.87783457E+02          8.01288048E+02          2.50000596E+02          5.43287452E+03          1.08851789E+02          5.05544380E+01
       2900.0000          6.10147624E+02          2.97100421E+02          8.26895968E+02          2.57883174E+02          5.62480861E+03          1.12537745E+02          5.22041338E+01
       3000.0000          6.27461201E+02          3.06400337E+02          8.52452215E+02          2.65748309E+02          5.81662878E+03          1.16219369E+02          5.38508416E+01
       3100.0000          6.44720633E+02          3.15683774E+02          8.77958577E+02          2.73596623E+02          6.00833521E+03          1.19896771E+02          5.54946601E+01
       3200.0000          6.61927908E+02          3.24951257E+02          9.03416708E+02          2.81428690E+02          6.19992809E+03          1.23570051E+02          5.71356809E+01
       3300.0000          6.79084880E+02          3.34203273E+02          9.28828140E+02          2.89245043E+02          6.39140757E+03          1.27239304E+02          5.87739887E+01
       3400.0000          6.96193277E+02          3.43440276E+02          9.54194300E+02          2.97046178E+02          6.58277382E+03          1.30904617E+02          6.04096623E+01
       3500.0000          7.13254715E+02          3.52662687E+02          9.79516513E+02          3.04832557E+02          6.77402700E+03          1.34566070E+02          6.20427749E+01
       3600.0000          7.30270704E+02          3.61870900E+02          1.00479602E+03          3.12604611E+02          6.96516726E+03          1.38223739E+02          6.36733949E+01
       3609.9990          7.31969689E+02          3.62790862E+02          1.00732141E+03          3.13380966E+02          6.98427317E+03          1.38589264E+02          6.38363060E+01
       3610.0010          7.31970029E+02          3.62791046E+02          1.00732192E+03          3.13381122E+02          6.98427699E+03          1.38589337E+02          6.38363386E+01
       3700.0000          7.47242663E+02          3.71065281E+02          1.03003398E+03          3.20362743E+02          7.15619475E+03          1.41877694E+02          6.53015863E+01
       3800.0000          7.64171922E+02          3.80246175E+02          1.05523147E+03          3.28107331E+02          7.34710961E+03          1.45528002E+02          6.69274089E+01
       3900.0000          7.81059733E+02          3.89413906E+02          1.08038951E+03          3.35838729E+02          7.53791198E+03          1.49174725E+02          6.85509190E+01
       4000.0000          7.97907273E+02          3.98568776E+02          1.10550907E+03          3.43557272E+02          7.72860200E+03          1.52817920E+02          7.01721693E+01
       4100.0000          8.14715654E+02          4.07711071E+02          1.13059103E+03          3.51263272E+02          7.91917981E+03          1.56457643E+02          7.17912094E+01
       4200.0000          8.31485926E+02          4.16841061E+02          1.15563625E+03          3.58957025E+02          8.10964552E+03          1.60093945E+02          7.34080863E+01
       4300.0000          8.48219080E+02          4.25958998E+02          1.18064553E+03          3.66638811E+02          8.29999927E+03          1.63726875E+02          7.50228440E+01
       4400.0000          8.64916056E+02          4.35065123E+02          1.20561963E+03          3.74308894E+02          8.49024119E+03          1.67356479E+02          7.66355244E+01
       4500.0000          8.81577744E+02          4.44159664E+02          1.23055925E+03          3.81967523E+02          8.68037139E+03          1.70982800E+02          7.82461671E+01
       4600.0000          8.98204988E+02          4.53242835E+02          1.25546509E+03          3.89614935E+02          8.87039000E+03          1.74605881E+02          7.98548094E+01
       4700.0000          9.14798589E+02          4.62314841E+02          1.28033778E+03          3.97251355E+02          9.06029714E+03          1.78225759E+02          8.14614870E+01
       4800.0000          9.31359312E+02          4.71375875E+02          1.30517794E+03          4.04876997E+02          9.25009292E+03          1.81842473E+02          8.30662336E+01
       4900.0000          9.47887881E+02          4.80426123E+02          1.32998615E+03          4.12492063E+02          9.43977746E+03          1.85456057E+02          8.46690814E+01
       5000.0000          9.64384987E+02          4.89465758E+02          1.35476296E+03          4.20096747E+02          9.62935087E+03          1.89066547E+02          8.62700609E+01
       5100.0000          9.80851290E+02          4.98494950E+02          1.37950890E+03          4.27691232E+02          9.81881326E+03          1.92673973E+02          8.78692012E+01
       5200.0000          9.97287420E+02          5.07513856E+02          1.40422447E+03          4.35275694E+02          1.00081647E+04          1.96278367E+02          8.94665302E+01
       5300.0000          1.01369398E+03          5.16522630E+02          1.42891015E+03          4.42850301E+02          1.01974054E+04          1.99879758E+02          9.10620744E+01
       5400.0000          1.03007153E+03          5.25521417E+02          1.45356641E+03          4.50415213E+02          1.03865354E+04          2.03478174E+02          9.26558592E+01
       5500.0000          1.04642064E+03          5.34510356E+02          1.47819367E+03          4.57970583E+02          1.05755549E+04          2.07073643E+02          9.42479087E+01
       5600.0000          1.06274183E+03          5.43489580E+02          1.50279237E+03          4.65516557E+02          1.07644638E+04          2.10666189E+02          9.58382463E+01
       5700.0000          1.07903560E+03          5.52459217E+02          1.52736290E+03          4.73053277E+02          1.09532624E+04          2.14255837E+02          9.74268942E+01
       5800.0000          1.09530244E+03          5.61419389E+02          1.55190564E+03          4.80580876E+02          1.11419507E+04          2.17842612E+02          9.90138738E+01
       5900.0000          1.11154281E+03          5.70370213E+02          1.57642098E+03          4.88099484E+02          1.13305289E+04          2.21426536E+02          1.00599205E+02
       6000.0000          1.12775715E+03          5.79311802E+02          1.60090926E+03          4.95609225E+02          1.15189970E+04          2.25007631E+02          1.02182909E+02
       6100.0000          1.14394589E+03          5.88244265E+02          1.62537082E+03          5.03110217E+02          1.17073551E+04          2.28585918E+02          1.03765003E+02
       6200.0000          1.16010946E+03          5.97167705E+02          1.64980600E+03          5.10602576E+02          1.18956034E+04          2.32161417E+02          1.05345506E+02
       6300.0000          1.17624823E+03          6.06082223E+02          1.67421511E+03          5.18086412E+02          1.20837419E+04          2.35734148E+02          1.06924435E+02
       6400.0000          1.19236261E+03          6.14987915E+02          1.69859845E+03          5.25561830E+02          1.22717708E+04          2.39304130E+02          1.08501807E+02
       6500.0000          1.20845294E+03          6.23884874E+02          1.72295631E+03          5.33028933E+02          1.24596901E+04          2.42871381E+02          1.10077639E+02
       6600.0000          1.22451959E+03          6.32773189E+02          1.74728899E+03          5.40487820E+02          1.26474999E+04          2.46435918E+02          1.11651946E+02
       6700.0000          1.24056290E+03          6.41652948E+02          1.77159674E+03          5.47938584E+02          1.28352004E+04          2.49997759E+02          1.13224743E+02
       6800.0000          1.25658319E+03          6.50524233E+02          1.79587984E+03          5.55381319E+02          1.30227916E+04          2.53556919E+02          1.14796045E+02
       6900.0000          1.27258079E+03          6.59387126E+02          1.82013854E+03          5.62816112E+02          1.32102737E+04          2.57113416E+02          1.16365866E+02
       7000.0000          1.28855601E+03          6.68241703E+02          1.84437308E+03          5.70243049E+02          1.33976467E+04          2.60667263E+02          1.17934219E+02
       7100.0000          1.30450914E+03          6.77088040E+02          1.86858370E+03          5.77662212E+02          1.35849106E+04          2.64218477E+02          1.19501117E+02
       7200.0000          1.32044046E+03          6.85926211E+02          1.89277063E+03          5.85073681E+02          1.37720657E+04          2.67767070E+02          1.21066574E+02
       7300.0000          1.33635027E+03          6.94756285E+02          1.91693408E+03          5.92477535E+02          1.39591121E+04          2.71313058E+02          1.22630602E+02
       7400.0000          1.35223882E+03          7.03578330E+02          1.94107429E+03          5.99873846E+02          1.41460497E+04          2.74856454E+02          1.24193212E+02
       7500.0000          1.36810637E+03          7.12392414E+02          1.96519144E+03          6.07262689E+02          1.43328787E+04          2.78397271E+02          1.25754416E+02
       7600.0000          1.38395319E+03          7.21198599E+02          1.98928576E+03          6.14644133E+02          1.45195992E+04          2.81935522E+02          1.27314226E+02
       7700.0000          1.39977950E+03          7.29996949E+02          2.01335742E+03          6.22018247E+02          1.47062113E+04          2.85471219E+02          1.28872652E+02
       7800.0000          1.41558556E+03          7.38787523E+02          2.03740662E+03          6.29385095E+02          1.48927151E+04          2.89004374E+02          1.30429704E+02
       7900.0000          1.43137159E+03          7.47570379E+02          2.06143354E+03          6.36744743E+02          1.50791106E+04          2.92534999E+02          1.31985394E+02
       8000.0000          1.44713781E+03          7.56345576E+02          2.08543837E+03          6.44097253E+02          1.52653980E+04          2.96063106E+02          1.33539730E+02
       8100.0000          1.46288445E+03          7.65113167E+02          2.10942128E+03          6.51442684E+02          1.54515773E+04          2.99588705E+02          1.35092724E+02
       8200.0000          1.47861170E+03          7.73873207E+02          2.13338242E+03          6.58781096E+02          1.56376487E+04          3.03111807E+02          1.36644383E+02
       8300.0000          1.49431978E+03          7.82625747E+02          2.15732198E+03          6.66112545E+02          1.58236122E+04          3.06632424E+02          1.38194717E+02
       8400.0000          1.51000889E+03          7.91370838E+02          2.18124010E+03          6.73437088E+02          1.60094680E+04          3.10150564E+02          1.39743735E+02
       8500.0000          1.52567921E+03          8.00108531E+02          2.20513695E+03          6.80754777E+02          1.61952160E+04          3.13666238E+02          1.41291446E+02
       8600.0000          1.54133093E+03          8.08838872E+02          2.22901266E+03          6.88065665E+02          1.63808564E+04          3.17179456E+02          1.42837858E+02
       8700.0000          1.55696425E+03          8.17561908E+02          2.25286740E+03          6.95369804E+02          1.65663894E+04          3.20690228E+02          1.44382979E+02
       8800.0000          1.57257932E+03          8.26277686E+02          2.27670130E+03          7.02667242E+02          1.67518149E+04          3.24198562E+02          1.45926818E+02
       8900.0000          1.58817634E+03          8.34986248E+02          2.30051450E+03          7.09958029E+02          1.69371331E+04          3.27704468E+02          1.47469381E+02
       9000.0000          1.60375546E+03          8.43687640E+02          2.32430714E+03          7.17242211E+02          1.71223440E+04          3.31207955E+02          1.49010677E+02
       9100.0000          1.61931686E+03          8.52381902E+02          2.34807935E+03          7.24519834E+02          1.73074478E+04          3.34709031E+02          1.50550713E+02
       9200.0000          1.63486068E+03          8.61069076E+02          2.37183125E+03          7.31790944E+02          1.74924445E+04          3.38207704E+02          1.52089496E+02
       9300.0000          1.65038710E+03          8.69749202E+02          2.39556298E+03          7.39055583E+02          1.76773343E+04          3.41703984E+02          1.53627033E+02
       9400.0000          1.66589625E+03          8.78422320E+02          2.41927466E+03          7.46313795E+02          1.78621171E+04          3.45197878E+02          1.55163332E+02
       9500.0000          1.68138829E+03          8.87088466E+02          2.44296640E+03          7.53565620E+02          1.80467932E+04          3.48689394E+02          1.56698398E+02
       9600.0000          1.69686336E+03          8.95747680E+02          2.46663833E+03          7.60811100E+02          1.82313625E+04          3.52178539E+02          1.58232239E+02
       9700.0000          1.71232160E+03          9.04399997E+02          2.49029055E+03          7.68050274E+02          1.84158252E+04          3.55665323E+02          1.59764860E+02
       9800.0000          1.72776315E+03          9.13045453E+02          2.51392318E+03          7.75283181E+02          1.86001814E+04          3.59149750E+02          1.61296268E+02
       9900.0000          1.74318815E+03          9.21684083E+02          2.53753633E+03          7.82509858E+02          1.87844311E+04          3.62631831E+02          1.62826470E+02
      10000.0000          1.75859672E+03          9.30315920E+02          2.56113011E+03          7.89730343E+02          1.89685744E+04          3.66111570E+02          1.64355470E+02
      11000.0000          1.91180596E+03          1.01626772E+03          2.79602402E+03          8.61602164E+02          2.08041762E+04          4.00781704E+02          1.79580651E+02
      12000.0000          2.06349741E+03          1.10157292E+03          3.02908211E+03          9.32889943E+02          2.26292345E+04          4.35224720E+02          1.94691464E+02
      13000.0000          2.21376360E+03          1.18625607E+03          3.26038068E+03          1.00362003E+03          2.44438330E+04          4.69445982E+02          2.09692224E+02
      14000.0000          2.36268098E+03          1.27033777E+03          3.48998357E+03          1.07381437E+03          2.62480536E+04          5.03450114E+02          2.24586553E+02
      15000.0000          2.51031379E+03          1.35383565E+03          3.71794512E+03          1.14349163E+03          2.80419774E+04          5.37241178E+02          2.39377551E+02
      16000.0000          2.65671683E+03          1.43676500E+03          3.94431233E+03          1.21266786E+03          2.98256841E+04          5.70822800E+02          2.54067913E+02
      17000.0000          2.80193744E+03          1.51913930E+03          4.16912642E+03          1.28135709E+03          3.15992525E+04          6.04198258E+02          2.68660013E+02
      18000.0000          2.94601699E+03          1.60097054E+03          4.39242397E+03          1.34957176E+03          3.33627603E+04          6.37370553E+02          2.83155967E+02
      19000.0000          3.08899198E+03          1.68226956E+03          4.61423777E+03          1.41732293E+03          3.51162846E+04          6.70342457E+02          2.97557683E+02
      20000.0000          3.23089494E+03          1.76304617E+03          4.83459750E+03          1.48462060E+03          3.68599014E+04          7.03116553E+02          3.11866895E+02
      21000.0000          3.37175509E+03          1.84330939E+03          5.05353027E+03          1.55147389E+03          3.85936858E+04          7.35695265E+02          3.26085193E+02
      22000.0000          3.51159882E+03          1.92306754E+03          5.27106099E+03          1.61789110E+03          4.03177124E+04          7.68080884E+02          3.40214047E+02
      23000.0000          3.65045022E+03          2.00232835E+03          5.48721271E+03          1.68387993E+03          4.20320547E+04          8.00275582E+02          3.54254823E+02
      24000.0000          3.78833132E+03          2.08109904E+03          5.70200693E+03          1.74944751E+03          4.37367857E+04          8.32281434E+02          3.68208797E+02
      25000.0000          3.92526243E+03          2.15938642E+03          5.91546373E+03          1.81460049E+03          4.54319774E+04          8.64100427E+02          3.82077171E+02
      26000.0000          4.06126235E+03          2.23719689E+03          6.12760203E+03          1.87934510E+03          4.71177014E+04          8.95734470E+02          3.95861077E+02
      27000.0000          4.19634859E+03          2.31453654E+03          6.33843970E+03          1.94368722E+03          4.87940283E+04          9.27185405E+02          4.09561591E+02
      28000.0000          4.33053748E+03          2.39141114E+03          6.54799367E+03          2.00763240E+03          5.04610282E+04          9.58455012E+02          4.23179736E+02
      29000.0000          4.46384435E+03          2.46782623E+03          6.75628008E+03          2.07118590E+03          5.21187704E+04          9.89545018E+02          4.36716488E+02
      30000.0000          4.59628364E+03          2.54378710E+03          6.96331433E+03          2.13435274E+03          5.37673236E+04          1.02045710E+03          4.50172785E+02
      31000.0000          4.72786897E+03          2.61929883E+03          7.16911115E+03          2.19713772E+03          5.54067559E+04          1.05119288E+03          4.63549525E+02
      32000.0000          4.85861326E+03          2.69436631E+03          7.37368471E+03          2.25954542E+03          5.70371346E+04          1.08175396E+03          4.76847574E+02
      33000.0000          4.98852875E+03          2.76899426E+03          7.57704863E+03          2.32158024E+03          5.86585264E+04          1.11214189E+03          4.90067768E+02
      34000.0000          5.11762714E+03          2.84318726E+03          7.77921606E+03          2.38324642E+03          6.02709975E+04          1.14235818E+03          5.03210913E+02
      35000.0000          5.24591959E+03          2.91694971E+03          7.98019968E+03          2.44454805E+03          6.18746133E+04          1.17240433E+03          5.16277794E+02
      36000.0000          5.37341676E+03          2.99028592E+03          8.18001180E+03          2.50548906E+03          6.34694387E+04          1.20228177E+03          5.29269170E+02
      37000.0000          5.50012889E+03          3.06320005E+03          8.37866433E+03          2.56607329E+03          6.50555381E+04          1.23199194E+03          5.42185778E+02
      38000.0000          5.62606582E+03          3.13569617E+03          8.57616887E+03          2.62630442E+03          6.66329750E+04          1.26153624E+03          5.55028339E+02
      39000.0000          5.75123701E+03          3.20777822E+03          8.77253667E+03          2.68618606E+03          6.82018125E+04          1.29091605E+03          5.67797551E+02
      40000.0000          5.87565160E+03          3.27945007E+03          8.96777870E+03          2.74572170E+03          6.97621132E+04          1.32013270E+03          5.80494098E+02
      41000.0000          5.99931839E+03          3.35071549E+03          9.16190564E+03          2.80491473E+03          7.13139390E+04          1.34918754E+03          5.93118647E+02
      42000.0000          6.12224593E+03          3.42157816E+03          9.35492795E+03          2.86376847E+03          7.28573512E+04          1.37808187E+03          6.05671851E+02
      43000.0000          6.24444245E+03          3.49204168E+03          9.54685580E+03          2.92228615E+03          7.43924107E+04          1.40681697E+03          6.18154348E+02
      44000.0000          6.36591598E+03          3.56210959E+03          9.73769918E+03          2.98047093E+03          7.59191777E+04          1.43539411E+03          6.30566764E+02
      45000.0000          6.48667428E+03          3.63178535E+03          9.92746783E+03          3.03832588E+03          7.74377119E+04          1.46381454E+03          6.42909710E+02
      46000.0000          6.60672491E+03          3.70107234E+03          1.01161713E+04          3.09585402E+03          7.89480724E+04          1.49207950E+03          6.55183788E+02
      47000.0000          6.72607522E+03          3.76997391E+03          1.03038190E+04          3.15305831E+03          8.04503179E+04          1.52019019E+03          6.67389587E+02
      48000.0000          6.84473236E+03          3.83849331E+03          1.04904201E+04          3.20994164E+03          8.19445065E+04          1.54814781E+03          6.79527688E+02
      49000.0000          6.96270332E+03          3.90663377E+03          1.06759835E+04          3.26650683E+03          8.34306957E+04          1.57595355E+03          6.91598658E+02
      50000.0000          7.07999489E+03          3.97439844E+03          1.08605182E+04          3.32275667E+03          8.49089427E+04          1.60360858E+03          7.03603057E+02
