#Energy      Cd   S  Total
          0.1000          1.19696554E+05          3.05651619E+03          2.98040982E+03
          0.2000          5.99559069E+04          1.55274772E+03          1.51354957E+03
          0.3000          4.00258352E+04          1.04784201E+03          1.02111022E+03
          0.4000          3.00544005E+04          7.93980376E+02          7.73544787E+02
          0.5000          2.40682763E+04          6.40947287E+02          6.24321373E+02
          0.6000          2.00755997E+04          5.38503788E+02          5.24436413E+02
          0.7000          1.72224392E+04          4.65057749E+02          4.52829975E+02
          0.8000          1.50817059E+04          4.09785847E+02          3.98946062E+02
          0.9000          1.34160659E+04          3.66661304E+02          3.56907029E+02
          1.0000          1.20830838E+04          3.32060368E+02          3.23178950E+02
          2.0000          6.07681779E+03          1.74687850E+02          1.69806491E+02
          3.0000          4.06971353E+03          1.21193568E+02          1.17688866E+02
          4.0000          3.06426572E+03          9.40754094E+01          9.12732476E+01
          5.0000          2.46005375E+03          7.76313954E+01          7.52565406E+01
          6.0000          2.05670268E+03          6.65763827E+01          6.44888499E+01
          7.0000          1.76825199E+03          5.86267722E+01          5.67453674E+01
          8.0000          1.55168340E+03          5.26325805E+01          5.09058705E+01
          9.0000          1.38307871E+03          4.79508177E+01          4.63440857E+01
         10.0000          1.24807636E+03          4.41934259E+01          4.26820860E+01
         11.0000          1.13753086E+03          4.11121230E+01          3.96780953E+01
         12.0000          1.04534128E+03          3.85405547E+01          3.71701338E+01
         13.0000          9.67281288E+02          3.63630107E+01          3.50455434E+01
         14.0000          9.00330329E+02          3.44964746E+01          3.32235043E+01
         15.0000          8.42272096E+02          3.28798131E+01          3.16445051E+01
         16.0000          7.91443472E+02          3.14669945E+01          3.02637388E+01
         17.0000          7.46572017E+02          3.02226857E+01          2.90468142E+01
         18.0000          7.06667565E+02          2.91193065E+01          2.79668885E+01
         19.0000          6.70948039E+02          2.81350085E+01          2.70026985E+01
         20.0000          6.38787489E+02          2.72522557E+01          2.61371789E+01
         21.0000          6.09678972E+02          2.64568076E+01          2.53564723E+01
         22.0000          5.83207537E+02          2.57369779E+01          2.46492072E+01
         23.0000          5.59030255E+02          2.50830846E+01          2.40059629E+01
         24.0000          5.36861238E+02          2.44870368E+01          2.34188675E+01
         25.0000          5.16460246E+02          2.39420200E+01          2.28812911E+01
         26.0000          4.97623919E+02          2.34422532E+01          2.23876093E+01
         27.0000          4.80178963E+02          2.29827993E+01          2.19330195E+01
         28.0000          4.63976785E+02          2.25594166E+01          2.15133952E+01
         29.0000          4.48889241E+02          2.21684398E+01          2.11251711E+01
         30.0000          4.34805235E+02          2.18066851E+01          2.07652504E+01
         31.0000          4.21627976E+02          2.14713736E+01          2.04309300E+01
         32.0000          4.09272740E+02          2.11600684E+01          2.01198399E+01
         33.0000          3.97665052E+02          2.08706239E+01          1.98298932E+01
         34.0000          3.86739174E+02          2.06011431E+01          1.95592450E+01
         35.0000          3.76436868E+02          2.03499423E+01          1.93062581E+01
         36.0000          3.66706346E+02          2.01155226E+01          1.90694746E+01
         37.0000          3.57501409E+02          1.98965442E+01          1.88475919E+01
         38.0000          3.48780707E+02          1.96918067E+01          1.86394426E+01
         39.0000          3.40507120E+02          1.95002306E+01          1.84439772E+01
         40.0000          3.32647233E+02          1.93208431E+01          1.82602498E+01
         41.0000          3.25170881E+02          1.91527646E+01          1.80874054E+01
         42.0000          3.18050765E+02          1.89951983E+01          1.79246691E+01
         43.0000          3.11262117E+02          1.88474203E+01          1.77713373E+01
         44.0000          3.04782418E+02          1.87087715E+01          1.76267694E+01
         45.0000          2.98591144E+02          1.85786506E+01          1.74903809E+01
         46.0000          2.92669551E+02          1.84565078E+01          1.73616375E+01
         47.0000          2.87000485E+02          1.83418396E+01          1.72400497E+01
         48.0000          2.81568219E+02          1.82341836E+01          1.71251683E+01
         49.0000          2.76358306E+02          1.81331147E+01          1.70165801E+01
         50.0000          2.71357452E+02          1.80382414E+01          1.69139049E+01
         51.0000          2.66553402E+02          1.79492024E+01          1.68167915E+01
         52.0000          2.61934842E+02          1.78656639E+01          1.67249156E+01
         53.0000          2.57491309E+02          1.77873168E+01          1.66379771E+01
         54.0000          2.53213113E+02          1.77138747E+01          1.65556979E+01
         55.0000          2.49091267E+02          1.76450717E+01          1.64778196E+01
         56.0000          2.45117425E+02          1.75806607E+01          1.64041023E+01
         57.0000          2.41283822E+02          1.75204116E+01          1.63343227E+01
         58.0000          2.37583231E+02          1.74641101E+01          1.62682728E+01
         59.0000          2.34008911E+02          1.74115562E+01          1.62057582E+01
         60.0000          2.30554570E+02          1.73625630E+01          1.61465978E+01
         61.0000          2.27214327E+02          1.73169557E+01          1.60906220E+01
         62.0000          2.23982679E+02          1.72745708E+01          1.60376720E+01
         63.0000          2.20854474E+02          1.72352548E+01          1.59875991E+01
         64.0000          2.17824878E+02          1.71988639E+01          1.59402637E+01
         65.0000          2.14889354E+02          1.71652629E+01          1.58955349E+01
         66.0000          2.12043641E+02          1.71343249E+01          1.58532895E+01
         67.0000          2.09283731E+02          1.71059302E+01          1.58134116E+01
         68.0000          2.06605850E+02          1.70799663E+01          1.57757922E+01
         69.0000          2.04006443E+02          1.70563270E+01          1.57403284E+01
         70.0000          2.01482158E+02          1.70349122E+01          1.57069234E+01
         70.9990          1.99032247E+02          1.70156457E+01          1.56755160E+01
         71.0000          1.99029829E+02          1.70156274E+01          1.56754855E+01
         71.0010          1.99027412E+02          1.70156092E+01          1.56754550E+01
         72.0000          1.96646470E+02          1.69983833E+01          1.56459283E+01
