#Energy      Ba  Total
          0.1000          2.31115476E+05          2.31115476E+05
          0.2000          1.15710438E+05          1.15710438E+05
          0.3000          7.72186168E+04          7.72186168E+04
          0.4000          5.79636120E+04          5.79636120E+04
          0.5000          4.64059701E+04          4.64059701E+04
          0.6000          3.86981354E+04          3.86981354E+04
          0.7000          3.31907633E+04          3.31907633E+04
          0.8000          2.90590066E+04          2.90590066E+04
          0.9000          2.58445283E+04          2.58445283E+04
          1.0000          2.32722766E+04          2.32722766E+04
          2.0000          1.16859661E+04          1.16859661E+04
          3.0000          7.81670524E+03          7.81670524E+03
          4.0000          5.87936140E+03          5.87936140E+03
          5.0000          4.71560063E+03          4.71560063E+03
          6.0000          3.93897765E+03          3.93897765E+03
          7.0000          3.38375128E+03          3.38375128E+03
          8.0000          2.96699681E+03          2.96699681E+03
          9.0000          2.64261766E+03          2.64261766E+03
         10.0000          2.38294070E+03          2.38294070E+03
         11.0000          2.17034677E+03          2.17034677E+03
         12.0000          1.99308413E+03          1.99308413E+03
         13.0000          1.84301325E+03          1.84301325E+03
         14.0000          1.71431767E+03          1.71431767E+03
         15.0000          1.60273023E+03          1.60273023E+03
         15.9990          1.50514089E+03          1.50514089E+03
         16.0000          1.50504929E+03          1.50504929E+03
         16.0010          1.50495770E+03          1.50495770E+03
         17.0000          1.41882562E+03          1.41882562E+03
         17.9990          1.34222598E+03          1.34222598E+03
         18.0000          1.34215355E+03          1.34215355E+03
         18.0010          1.34208112E+03          1.34208112E+03
         19.0000          1.27352809E+03          1.27352809E+03
         20.0000          1.21174483E+03          1.21174483E+03
         21.0000          1.15582845E+03          1.15582845E+03
         22.0000          1.10498071E+03          1.10498071E+03
         23.0000          1.05854200E+03          1.05854200E+03
         24.0000          1.01596244E+03          1.01596244E+03
         25.0000          9.76780049E+02          9.76780049E+02
         26.0000          9.40603767E+02          9.40603767E+02
         27.0000          9.07100394E+02          9.07100394E+02
         28.0000          8.75984249E+02          8.75984249E+02
         29.0000          8.47008991E+02          8.47008991E+02
         30.0000          8.19961067E+02          8.19961067E+02
         30.9990          7.94678927E+02          7.94678927E+02
         31.0000          7.94654435E+02          7.94654435E+02
         31.0010          7.94629943E+02          7.94629943E+02
         32.0000          7.70926264E+02          7.70926264E+02
         33.0000          7.48633430E+02          7.48633430E+02
         34.0000          7.27649613E+02          7.27649613E+02
         35.0000          7.07862906E+02          7.07862906E+02
         36.0000          6.89173814E+02          6.89173814E+02
         37.0000          6.71493575E+02          6.71493575E+02
         38.0000          6.54742756E+02          6.54742756E+02
         39.0000          6.38850056E+02          6.38850056E+02
         40.0000          6.23751288E+02          6.23751288E+02
         41.0000          6.09388516E+02          6.09388516E+02
         42.0000          5.95709313E+02          5.95709313E+02
         43.0000          5.82666117E+02          5.82666117E+02
         44.0000          5.70215682E+02          5.70215682E+02
         45.0000          5.58318600E+02          5.58318600E+02
         46.0000          5.46938880E+02          5.46938880E+02
         47.0000          5.36043590E+02          5.36043590E+02
         48.0000          5.25602538E+02          5.25602538E+02
         49.0000          5.15587987E+02          5.15587987E+02
         50.0000          5.05974420E+02          5.05974420E+02
         51.0000          4.96738313E+02          4.96738313E+02
         52.0000          4.87857950E+02          4.87857950E+02
         53.0000          4.79313250E+02          4.79313250E+02
         54.0000          4.71085616E+02          4.71085616E+02
         55.0000          4.63157801E+02          4.63157801E+02
         56.0000          4.55513787E+02          4.55513787E+02
         57.0000          4.48138678E+02          4.48138678E+02
         58.0000          4.41018604E+02          4.41018604E+02
         59.0000          4.34140631E+02          4.34140631E+02
         60.0000          4.27492688E+02          4.27492688E+02
         61.0000          4.21063492E+02          4.21063492E+02
         62.0000          4.14842487E+02          4.14842487E+02
         63.0000          4.08819786E+02          4.08819786E+02
         64.0000          4.02986119E+02          4.02986119E+02
         65.0000          3.97332783E+02          3.97332783E+02
         66.0000          3.91851605E+02          3.91851605E+02
         67.0000          3.86534894E+02          3.86534894E+02
         68.0000          3.81375416E+02          3.81375416E+02
         69.0000          3.76366351E+02          3.76366351E+02
