#Energy      Ir  Total
          0.1000          1.69104651E+05          1.69104651E+05
          0.2000          8.46114222E+04          8.46114222E+04
          0.3000          5.64379069E+04          5.64379069E+04
          0.4000          4.23476203E+04          4.23476203E+04
          0.5000          3.38916473E+04          3.38916473E+04
          0.6000          2.82532678E+04          2.82532678E+04
          0.7000          2.42251638E+04          2.42251638E+04
          0.8000          2.12036087E+04          2.12036087E+04
          0.9000          1.88531642E+04          1.88531642E+04
          1.0000          1.69725483E+04          1.69725483E+04
          2.0000          8.50542145E+03          8.50542145E+03
          3.0000          5.68024898E+03          5.68024898E+03
          4.0000          4.26659711E+03          4.26659711E+03
          5.0000          3.41787127E+03          3.41787127E+03
          6.0000          2.85174346E+03          2.85174346E+03
          7.0000          2.44716857E+03          2.44716857E+03
          8.0000          2.14360299E+03          2.14360299E+03
          9.0000          1.90740072E+03          1.90740072E+03
         10.0000          1.71836825E+03          1.71836825E+03
         11.0000          1.56365165E+03          1.56365165E+03
         12.0000          1.43467943E+03          1.43467943E+03
         13.0000          1.32551604E+03          1.32551604E+03
         14.0000          1.23192081E+03          1.23192081E+03
         15.0000          1.15078323E+03          1.15078323E+03
         16.0000          1.07976992E+03          1.07976992E+03
         17.0000          1.01709617E+03          1.01709617E+03
         18.0000          9.61373602E+02          9.61373602E+02
         19.0000          9.11505907E+02          9.11505907E+02
         20.0000          8.66615885E+02          8.66615885E+02
         21.0000          8.25993295E+02          8.25993295E+02
         22.0000          7.89056928E+02          7.89056928E+02
         23.0000          7.55326576E+02          7.55326576E+02
         24.0000          7.24401999E+02          7.24401999E+02
         25.0000          6.95946943E+02          6.95946943E+02
         26.0000          6.69676838E+02          6.69676838E+02
         27.0000          6.45349241E+02          6.45349241E+02
         28.0000          6.22756308E+02          6.22756308E+02
         29.0000          6.01718839E+02          6.01718839E+02
         30.0000          5.82081508E+02          5.82081508E+02
         31.0000          5.63709007E+02          5.63709007E+02
         32.0000          5.46482930E+02          5.46482930E+02
         33.0000          5.30299208E+02          5.30299208E+02
         34.0000          5.15066003E+02          5.15066003E+02
         35.0000          5.00701961E+02          5.00701961E+02
         36.0000          4.87134762E+02          4.87134762E+02
         37.0000          4.74299893E+02          4.74299893E+02
         38.0000          4.62139627E+02          4.62139627E+02
         39.0000          4.50602151E+02          4.50602151E+02
         40.0000          4.39640826E+02          4.39640826E+02
         41.0000          4.29213561E+02          4.29213561E+02
         42.0000          4.19282268E+02          4.19282268E+02
         43.0000          4.09812399E+02          4.09812399E+02
         44.0000          4.00772543E+02          4.00772543E+02
         45.0000          3.92134077E+02          3.92134077E+02
         46.0000          3.83870865E+02          3.83870865E+02
         47.0000          3.75958993E+02          3.75958993E+02
         48.0000          3.68376538E+02          3.68376538E+02
         49.0000          3.61103364E+02          3.61103364E+02
         50.0000          3.54120943E+02          3.54120943E+02
         51.0000          3.47412201E+02          3.47412201E+02
         52.0000          3.40961374E+02          3.40961374E+02
         52.9990          3.34759976E+02          3.34759976E+02
         53.0000          3.34753886E+02          3.34753886E+02
         53.0010          3.34747796E+02          3.34747796E+02
         54.0000          3.28776241E+02          3.28776241E+02
         55.0000          3.23015922E+02          3.23015922E+02
         56.0000          3.17461307E+02          3.17461307E+02
         57.0000          3.12101585E+02          3.12101585E+02
