#Energy      Au  Total
          0.1000          2.23403349E+05          2.23403349E+05
          0.2000          1.11775844E+05          1.11775844E+05
          0.3000          7.45552452E+04          7.45552452E+04
          0.4000          5.59405162E+04          5.59405162E+04
          0.5000          4.47694180E+04          4.47694180E+04
          0.6000          3.73206833E+04          3.73206833E+04
          0.7000          3.19992923E+04          3.19992923E+04
          0.8000          2.80076499E+04          2.80076499E+04
          0.9000          2.49026048E+04          2.49026048E+04
          1.0000          2.24182419E+04          2.24182419E+04
          2.0000          1.12331400E+04          1.12331400E+04
          3.0000          7.50126024E+03          7.50126024E+03
          4.0000          5.63398158E+03          5.63398158E+03
          5.0000          4.51294238E+03          4.51294238E+03
          6.0000          3.76519244E+03          3.76519244E+03
          7.0000          3.23083647E+03          3.23083647E+03
          8.0000          2.82990036E+03          2.82990036E+03
          9.0000          2.51794070E+03          2.51794070E+03
         10.0000          2.26828399E+03          2.26828399E+03
         11.0000          2.06395180E+03          2.06395180E+03
         12.0000          1.89362239E+03          1.89362239E+03
         13.0000          1.74945582E+03          1.74945582E+03
         14.0000          1.62585090E+03          1.62585090E+03
         15.0000          1.51869922E+03          1.51869922E+03
         16.0000          1.42491886E+03          1.42491886E+03
         17.0000          1.34215259E+03          1.34215259E+03
         18.0000          1.26856667E+03          1.26856667E+03
         19.0000          1.20271315E+03          1.20271315E+03
         20.0000          1.14343346E+03          1.14343346E+03
         21.0000          1.08978956E+03          1.08978956E+03
         22.0000          1.04101382E+03          1.04101382E+03
         23.0000          9.96472037E+02          9.96472037E+02
         24.0000          9.55635602E+02          9.55635602E+02
         25.0000          9.18060426E+02          9.18060426E+02
         26.0000          8.83370686E+02          8.83370686E+02
         27.0000          8.51246187E+02          8.51246187E+02
         28.0000          8.21412440E+02          8.21412440E+02
         29.0000          7.93632784E+02          7.93632784E+02
         30.0000          7.67702083E+02          7.67702083E+02
         31.0000          7.43441648E+02          7.43441648E+02
         32.0000          7.20695107E+02          7.20695107E+02
         33.0000          6.99325022E+02          6.99325022E+02
         34.0000          6.79210112E+02          6.79210112E+02
         35.0000          6.60242942E+02          6.60242942E+02
         36.0000          6.42328004E+02          6.42328004E+02
         37.0000          6.25380103E+02          6.25380103E+02
         38.0000          6.09323006E+02          6.09323006E+02
         39.0000          5.94088288E+02          5.94088288E+02
         40.0000          5.79614362E+02          5.79614362E+02
         41.0000          5.65845643E+02          5.65845643E+02
         42.0000          5.52731834E+02          5.52731834E+02
         43.0000          5.40227311E+02          5.40227311E+02
         44.0000          5.28290596E+02          5.28290596E+02
         45.0000          5.16883890E+02          5.16883890E+02
         46.0000          5.05972682E+02          5.05972682E+02
         47.0000          4.95525392E+02          4.95525392E+02
         48.0000          4.85513069E+02          4.85513069E+02
         49.0000          4.75909124E+02          4.75909124E+02
         50.0000          4.66689092E+02          4.66689092E+02
         51.0000          4.57830424E+02          4.57830424E+02
         52.0000          4.49312306E+02          4.49312306E+02
         53.0000          4.41115490E+02          4.41115490E+02
         54.0000          4.33222156E+02          4.33222156E+02
         55.0000          4.25615774E+02          4.25615774E+02
         56.0000          4.18280996E+02          4.18280996E+02
         57.0000          4.11203551E+02          4.11203551E+02
         58.0000          4.04370148E+02          4.04370148E+02
         59.0000          3.97768399E+02          3.97768399E+02
         60.0000          3.91386738E+02          3.91386738E+02
         60.9990          3.85220431E+02          3.85220431E+02
         61.0000          3.85214359E+02          3.85214359E+02
         61.0010          3.85208288E+02          3.85208288E+02
         62.0000          3.79241152E+02          3.79241152E+02
         63.0000          3.73457646E+02          3.73457646E+02
         64.0000          3.67854963E+02          3.67854963E+02
         65.0000          3.62424772E+02          3.62424772E+02
         66.0000          3.57159244E+02          3.57159244E+02
         67.0000          3.52051017E+02          3.52051017E+02
         68.0000          3.47093162E+02          3.47093162E+02
         69.0000          3.42279153E+02          3.42279153E+02
         70.0000          3.37602834E+02          3.37602834E+02
         71.0000          3.33058395E+02          3.33058395E+02
         72.0000          3.28640351E+02          3.28640351E+02
         73.0000          3.24343516E+02          3.24343516E+02
         74.0000          3.20162983E+02          3.20162983E+02
         75.0000          3.16094107E+02          3.16094107E+02
         75.9990          3.12136398E+02          3.12136398E+02
         76.0000          3.12132488E+02          3.12132488E+02
         76.0010          3.12128579E+02          3.12128579E+02
         77.0000          3.08273953E+02          3.08273953E+02
         78.0000          3.04514544E+02          3.04514544E+02
         79.0000          3.00850502E+02          3.00850502E+02
         80.0000          2.97278257E+02          2.97278257E+02
         81.0000          2.93794413E+02          2.93794413E+02
         82.0000          2.90395742E+02          2.90395742E+02
         83.0000          2.87079169E+02          2.87079169E+02
         84.0000          2.83841767E+02          2.83841767E+02
         85.0000          2.80680746E+02          2.80680746E+02
         86.0000          2.77593445E+02          2.77593445E+02
         86.9990          2.74580308E+02          2.74580308E+02
         87.0000          2.74577327E+02          2.74577327E+02
         87.0010          2.74574345E+02          2.74574345E+02
         88.0000          2.71629967E+02          2.71629967E+02
         89.0000          2.68749052E+02          2.68749052E+02
         90.0000          2.65932371E+02          2.65932371E+02
         90.9990          2.63180532E+02          2.63180532E+02
         91.0000          2.63177808E+02          2.63177808E+02
         91.0010          2.63175084E+02          2.63175084E+02
         92.0000          2.60483341E+02          2.60483341E+02
         93.0000          2.57847035E+02          2.57847035E+02
         94.0000          2.55267035E+02          2.55267035E+02
         95.0000          2.52741566E+02          2.52741566E+02
         96.0000          2.50268927E+02          2.50268927E+02
         97.0000          2.47847486E+02          2.47847486E+02
         98.0000          2.45475678E+02          2.45475678E+02
         99.0000          2.43152000E+02          2.43152000E+02
        100.0000          2.40875012E+02          2.40875012E+02
        110.0000          2.20393243E+02          2.20393243E+02
        113.9990          2.13214044E+02          2.13214044E+02
        114.0010          2.13210580E+02          2.13210580E+02
        120.0000          2.03344499E+02          2.03344499E+02
        130.0000          1.88937390E+02          1.88937390E+02
        140.0000          1.76606394E+02          1.76606394E+02
        150.0000          1.65936631E+02          1.65936631E+02
        160.0000          1.56616828E+02          1.56616828E+02
        170.0000          1.48408879E+02          1.48408879E+02
        180.0000          1.41127534E+02          1.41127534E+02
        190.0000          1.34626505E+02          1.34626505E+02
        200.0000          1.28788735E+02          1.28788735E+02
        210.0000          1.23519442E+02          1.23519442E+02
        220.0000          1.18741064E+02          1.18741064E+02
        230.0000          1.14389517E+02          1.14389517E+02
        240.0000          1.10411391E+02          1.10411391E+02
        250.0000          1.06761814E+02          1.06761814E+02
        260.0000          1.03402815E+02          1.03402815E+02
        270.0000          1.00302046E+02          1.00302046E+02
        280.0000          9.74317776E+01          9.74317776E+01
        290.0000          9.47681033E+01          9.47681033E+01
        300.0000          9.22903045E+01          9.22903045E+01
        310.0000          8.99803353E+01          8.99803353E+01
        320.0000          8.78224054E+01          8.78224054E+01
        330.0000          8.58026388E+01          8.58026388E+01
        338.9990          8.40930142E+01          8.40930142E+01
        339.0010          8.40926449E+01          8.40926449E+01
        340.0000          8.39087922E+01          8.39087922E+01
        350.0000          8.21300220E+01          8.21300220E+01
        356.9990          8.09483139E+01          8.09483139E+01
        357.0010          8.09479833E+01          8.09479833E+01
        360.0000          8.04566899E+01          8.04566899E+01
        370.0000          7.88802003E+01          7.88802003E+01
        380.0000          7.73928629E+01          7.73928629E+01
        390.0000          7.59877768E+01          7.59877768E+01
        400.0000          7.46587319E+01          7.46587319E+01
        410.0000          7.34001245E+01          7.34001245E+01
        420.0000          7.22068853E+01          7.22068853E+01
        430.0000          7.10744173E+01          7.10744173E+01
        440.0000          6.99985417E+01          6.99985417E+01
        450.0000          6.89754522E+01          6.89754522E+01
        460.0000          6.80016738E+01          6.80016738E+01
        470.0000          6.70740278E+01          6.70740278E+01
        480.0000          6.61896011E+01          6.61896011E+01
        490.0000          6.53457189E+01          6.53457189E+01
        500.0000          6.45399209E+01          6.45399209E+01
        510.0000          6.37699401E+01          6.37699401E+01
        520.0000          6.30336846E+01          6.30336846E+01
        530.0000          6.23292207E+01          6.23292207E+01
        540.0000          6.16547585E+01          6.16547585E+01
        547.9990          6.11357346E+01          6.11357346E+01
        548.0010          6.11356070E+01          6.11356070E+01
        550.0000          6.10086386E+01          6.10086386E+01
        560.0000          6.03893206E+01          6.03893206E+01
        570.0000          5.97953724E+01          5.97953724E+01
        580.0000          5.92254614E+01          5.92254614E+01
        590.0000          5.86783455E+01          5.86783455E+01
        600.0000          5.81528656E+01          5.81528656E+01
        610.0000          5.76479392E+01          5.76479392E+01
        620.0000          5.71625539E+01          5.71625539E+01
        630.0000          5.66957619E+01          5.66957619E+01
        640.0000          5.62466747E+01          5.62466747E+01
        644.9990          5.60285512E+01          5.60285512E+01
        645.0010          5.60284648E+01          5.60284648E+01
        650.0000          5.58144591E+01          5.58144591E+01
        660.0000          5.53983325E+01          5.53983325E+01
        670.0000          5.49975592E+01          5.49975592E+01
        680.0000          5.46114472E+01          5.46114472E+01
        690.0000          5.42393448E+01          5.42393448E+01
        700.0000          5.38806377E+01          5.38806377E+01
        710.0000          5.35347466E+01          5.35347466E+01
        720.0000          5.32011243E+01          5.32011243E+01
        730.0000          5.28792542E+01          5.28792542E+01
        740.0000          5.25686474E+01          5.25686474E+01
        750.0000          5.22688415E+01          5.22688415E+01
        760.0000          5.19793987E+01          5.19793987E+01
        763.9990          5.18664576E+01          5.18664576E+01
        764.0010          5.18664015E+01          5.18664015E+01
        770.0000          5.16999039E+01          5.16999039E+01
        780.0000          5.14299636E+01          5.14299636E+01
        790.0000          5.11692044E+01          5.11692044E+01
        800.0000          5.09172716E+01          5.09172716E+01
        810.0000          5.06738283E+01          5.06738283E+01
        820.0000          5.04385541E+01          5.04385541E+01
        830.0000          5.02111442E+01          5.02111442E+01
        840.0000          4.99913086E+01          4.99913086E+01
        850.0000          4.97787708E+01          4.97787708E+01
        860.0000          4.95732675E+01          4.95732675E+01
        870.0000          4.93745476E+01          4.93745476E+01
        880.0000          4.91823714E+01          4.91823714E+01
        890.0000          4.89965103E+01          4.89965103E+01
        900.0000          4.88167457E+01          4.88167457E+01
        910.0000          4.86428691E+01          4.86428691E+01
        920.0000          4.84746808E+01          4.84746808E+01
        930.0000          4.83119900E+01          4.83119900E+01
        940.0000          4.81546140E+01          4.81546140E+01
        950.0000          4.80023780E+01          4.80023780E+01
        960.0000          4.78551145E+01          4.78551145E+01
        970.0000          4.77126630E+01          4.77126630E+01
        980.0000          4.75748697E+01          4.75748697E+01
        990.0000          4.74415870E+01          4.74415870E+01
       1000.0000          4.73126733E+01          4.73126733E+01
       1100.0000          4.62364207E+01          4.62364207E+01
       1200.0000          4.54762199E+01          4.54762199E+01
       1300.0000          4.49551870E+01          4.49551870E+01
       1400.0000          4.46187854E+01          4.46187854E+01
       1500.0000          4.44273196E+01          4.44273196E+01
       1600.0000          4.43512546E+01          4.43512546E+01
       1700.0000          4.43681963E+01          4.43681963E+01
